year,value,subseries_id,source_id,units,industry
1962,-0.0631,S707-A-20-Food,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,20 Food
1962,-0.1485,S707-A-21-Beverages,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,21 Beverages
1962,0.0488,S707-A-22-Tobacco,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,22 Tobacco
1962,0.1112,S707-A-23-Textiles,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,23 Textiles
1962,0.2004,S707-A-24-Clothing---Footwear,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,24 Clothing & Footwear
1962,0.215,S707-A-25-Wood---Cork,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,25 Wood & Cork
1962,0.3232,S707-A-26-Furniture,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,26 Furniture
1962,-0.2357,S707-A-27-Paper,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,27 Paper
1962,1.1354,S707-A-28-Printing---Publishing,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,28 Printing & Publishing
1962,0.3162,S707-A-29-Leather,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,29 Leather
1962,0.0959,S707-A-30-Rubber,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,30 Rubber
1962,-0.1347,S707-A-31-Chemicals,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,31 Chemicals
1962,0.5285,S707-A-32-Petroleum---Coal,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,32 Petroleum & Coal
1962,-0.0921,S707-A-33-Non-Metallic-Minerals,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,33 Non-Metallic Minerals
1962,-0.3399,S707-A-34-Basic-Metallic-Products,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,34 Basic Metallic Products
1962,0.0027,S707-A-35-Metallic-Products,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,35 Metallic Products
1962,0.4368,S707-A-36-Machines--Non-Electrical,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,36 Machines (Non-Electrical)
1962,0.6713,S707-A-37-Electrical-Supplies,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,37 Electrical Supplies
1962,0.0145,S707-A-38-Transport-Equipment,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,38 Transport Equipment
1962,1.4119,S707-A-39-Miscellaneous-Manufacturing,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,39 Miscellaneous Manufacturing
1963,-0.0895,S707-A-20-Food,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,20 Food
1963,-0.0628,S707-A-21-Beverages,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,21 Beverages
1963,0.1483,S707-A-22-Tobacco,TSOULFIDIS_TSALIKI_2011_FIG4,rate_deviation_decimal,22 Tobacco
