year,value,subseries_id,source_id,units,cr4_bin
1963,9.2,S805-1963,DEMSETZ_1973B_TABLE_4,percent,10-20
1963,8.4,S805-1963,DEMSETZ_1973B_TABLE_4,percent,20-30
1963,8.7,S805-1963,DEMSETZ_1973B_TABLE_4,percent,30-40
1963,8.3,S805-1963,DEMSETZ_1973B_TABLE_4,percent,40-50
1963,10.1,S805-1963,DEMSETZ_1973B_TABLE_4,percent,50-60
1963,12.5,S805-1963,DEMSETZ_1973B_TABLE_4,percent,60+
1969,9.7,S805-1969,DEMSETZ_1973B_TABLE_4,percent,10-20
1969,8.3,S805-1969,DEMSETZ_1973B_TABLE_4,percent,20-30
1969,8.4,S805-1969,DEMSETZ_1973B_TABLE_4,percent,30-40
1969,7.9,S805-1969,DEMSETZ_1973B_TABLE_4,percent,40-50
1969,9.2,S805-1969,DEMSETZ_1973B_TABLE_4,percent,50-60
1969,7.4,S805-1969,DEMSETZ_1973B_TABLE_4,percent,60+
