year,value,subseries_id,source_id,units,country_key
2002,-103.065,XS2301-china,CENSUS_FT900_C5700,billion_usd,China
2002,-468.262,XS2301-world,CENSUS_FT900_C0004,billion_usd,World
2003,-124.068,XS2301-china,CENSUS_FT900_C5700,billion_usd,China
2003,-532.35,XS2301-world,CENSUS_FT900_C0004,billion_usd,World
2004,-162.254,XS2301-china,CENSUS_FT900_C5700,billion_usd,China
2004,-654.828,XS2301-world,CENSUS_FT900_C0004,billion_usd,World
2005,-202.278,XS2301-china,CENSUS_FT900_C5700,billion_usd,China
2005,-772.374,XS2301-world,CENSUS_FT900_C0004,billion_usd,World
2006,-234.101,XS2301-china,CENSUS_FT900_C5700,billion_usd,China
2006,-827.97,XS2301-world,CENSUS_FT900_C0004,billion_usd,World
2007,-258.506,XS2301-china,CENSUS_FT900_C5700,billion_usd,China
2007,-808.765,XS2301-world,CENSUS_FT900_C0004,billion_usd,World
2008,-268.04,XS2301-china,CENSUS_FT900_C5700,billion_usd,China
2008,-816.2,XS2301-world,CENSUS_FT900_C0004,billion_usd,World
2009,-226.877,XS2301-china,CENSUS_FT900_C5700,billion_usd,China
2009,-503.583,XS2301-world,CENSUS_FT900_C0004,billion_usd,World
2010,-273.042,XS2301-china,CENSUS_FT900_C5700,billion_usd,China
2010,-635.365,XS2301-world,CENSUS_FT900_C0004,billion_usd,World
2011,-295.25,XS2301-china,CENSUS_FT900_C5700,billion_usd,China
2011,-725.447,XS2301-world,CENSUS_FT900_C0004,billion_usd,World
2012,-315.103,XS2301-china,CENSUS_FT900_C5700,billion_usd,China
2012,-730.446,XS2301-world,CENSUS_FT900_C0004,billion_usd,World
2013,-318.684,XS2301-china,CENSUS_FT900_C5700,billion_usd,China
2013,-689.47,XS2301-world,CENSUS_FT900_C0004,billion_usd,World
2014,-344.818,XS2301-china,CENSUS_FT900_C5700,billion_usd,China
2014,-734.482,XS2301-world,CENSUS_FT900_C0004,billion_usd,World
2015,-367.328,XS2301-china,CENSUS_FT900_C5700,billion_usd,China
2015,-745.483,XS2301-world,CENSUS_FT900_C0004,billion_usd,World
2016,-346.825,XS2301-china,CENSUS_FT900_C5700,billion_usd,China
2016,-735.326,XS2301-world,CENSUS_FT900_C0004,billion_usd,World
2017,-375.168,XS2301-china,CENSUS_FT900_C5700,billion_usd,China
2017,-792.396,XS2301-world,CENSUS_FT900_C0004,billion_usd,World
2018,-418.233,XS2301-china,CENSUS_FT900_C5700,billion_usd,China
2018,-870.358,XS2301-world,CENSUS_FT900_C0004,billion_usd,World
2019,-342.63,XS2301-china,CENSUS_FT900_C5700,billion_usd,China
2019,-845.759,XS2301-world,CENSUS_FT900_C0004,billion_usd,World
2020,-307.966,XS2301-china,CENSUS_FT900_C5700,billion_usd,China
2020,-901.482,XS2301-world,CENSUS_FT900_C0004,billion_usd,World
2021,-352.807,XS2301-china,CENSUS_FT900_C5700,billion_usd,China
2021,-1070.772,XS2301-world,CENSUS_FT900_C0004,billion_usd,World
2022,-382.281,XS2301-china,CENSUS_FT900_C5700,billion_usd,China
2022,-1167.085,XS2301-world,CENSUS_FT900_C0004,billion_usd,World
2023,-279.608,XS2301-china,CENSUS_FT900_C5700,billion_usd,China
2023,-1054.613,XS2301-world,CENSUS_FT900_C0004,billion_usd,World
2024,-297.048,XS2301-china,CENSUS_FT900_C5700,billion_usd,China
2024,-1200.869,XS2301-world,CENSUS_FT900_C0004,billion_usd,World
