year,value,subseries_id,source_id,units,is_forecast
1997,36.963,XS2302-level,IMF_WEO_BCA_CHN,billion_usd,False
1997,3.8,XS2302-pctgdp,IMF_WEO_BCA_NGDPD_CHN,percent_of_nominal_gdp,False
1998,31.471,XS2302-level,IMF_WEO_BCA_CHN,billion_usd,False
1998,3.0,XS2302-pctgdp,IMF_WEO_BCA_NGDPD_CHN,percent_of_nominal_gdp,False
1999,21.114,XS2302-level,IMF_WEO_BCA_CHN,billion_usd,False
1999,1.9,XS2302-pctgdp,IMF_WEO_BCA_NGDPD_CHN,percent_of_nominal_gdp,False
2000,20.432,XS2302-level,IMF_WEO_BCA_CHN,billion_usd,False
2000,1.7,XS2302-pctgdp,IMF_WEO_BCA_NGDPD_CHN,percent_of_nominal_gdp,False
2001,17.405,XS2302-level,IMF_WEO_BCA_CHN,billion_usd,False
2001,1.3,XS2302-pctgdp,IMF_WEO_BCA_NGDPD_CHN,percent_of_nominal_gdp,False
2002,35.422,XS2302-level,IMF_WEO_BCA_CHN,billion_usd,False
2002,2.4,XS2302-pctgdp,IMF_WEO_BCA_NGDPD_CHN,percent_of_nominal_gdp,False
2003,43.052,XS2302-level,IMF_WEO_BCA_CHN,billion_usd,False
2003,2.6,XS2302-pctgdp,IMF_WEO_BCA_NGDPD_CHN,percent_of_nominal_gdp,False
2004,68.941,XS2302-level,IMF_WEO_BCA_CHN,billion_usd,False
2004,3.5,XS2302-pctgdp,IMF_WEO_BCA_NGDPD_CHN,percent_of_nominal_gdp,False
2005,132.378,XS2302-level,IMF_WEO_BCA_CHN,billion_usd,False
2005,5.7,XS2302-pctgdp,IMF_WEO_BCA_NGDPD_CHN,percent_of_nominal_gdp,False
2006,231.843,XS2302-level,IMF_WEO_BCA_CHN,billion_usd,False
2006,8.3,XS2302-pctgdp,IMF_WEO_BCA_NGDPD_CHN,percent_of_nominal_gdp,False
2007,353.183,XS2302-level,IMF_WEO_BCA_CHN,billion_usd,False
2007,9.8,XS2302-pctgdp,IMF_WEO_BCA_NGDPD_CHN,percent_of_nominal_gdp,False
2008,420.569,XS2302-level,IMF_WEO_BCA_CHN,billion_usd,False
2008,9.0,XS2302-pctgdp,IMF_WEO_BCA_NGDPD_CHN,percent_of_nominal_gdp,False
2009,243.257,XS2302-level,IMF_WEO_BCA_CHN,billion_usd,False
2009,4.7,XS2302-pctgdp,IMF_WEO_BCA_NGDPD_CHN,percent_of_nominal_gdp,False
2010,237.81,XS2302-level,IMF_WEO_BCA_CHN,billion_usd,False
