year,value,subseries_id,source_id,units
1990,29.586161158612,XS2303-A,WB_FI_RES_XGLD_CD_CHN,billion_usd
1991,43.6742991031198,XS2303-A,WB_FI_RES_XGLD_CD_CHN,billion_usd
1992,20.6203619151072,XS2303-A,WB_FI_RES_XGLD_CD_CHN,billion_usd
1993,22.3868492435518,XS2303-A,WB_FI_RES_XGLD_CD_CHN,billion_usd
1994,52.9140628843961,XS2303-A,WB_FI_RES_XGLD_CD_CHN,billion_usd
1995,75.37670286951041,XS2303-A,WB_FI_RES_XGLD_CD_CHN,billion_usd
1996,107.03942503939999,XS2303-A,WB_FI_RES_XGLD_CD_CHN,billion_usd
1997,142.762467746157,XS2303-A,WB_FI_RES_XGLD_CD_CHN,billion_usd
1998,149.18789572312602,XS2303-A,WB_FI_RES_XGLD_CD_CHN,billion_usd
1999,157.727874491999,XS2303-A,WB_FI_RES_XGLD_CD_CHN,billion_usd
2000,168.277583225843,XS2303-A,WB_FI_RES_XGLD_CD_CHN,billion_usd
2001,215.60512761714003,XS2303-A,WB_FI_RES_XGLD_CD_CHN,billion_usd
2002,291.127828205212,XS2303-A,WB_FI_RES_XGLD_CD_CHN,billion_usd
2003,408.150659048593,XS2303-A,WB_FI_RES_XGLD_CD_CHN,billion_usd
2004,614.499524349601,XS2303-A,WB_FI_RES_XGLD_CD_CHN,billion_usd
2005,821.513849695566,XS2303-A,WB_FI_RES_XGLD_CD_CHN,billion_usd
2006,1068.4930298699,XS2303-A,WB_FI_RES_XGLD_CD_CHN,billion_usd
2007,1530.28162304337,XS2303-A,WB_FI_RES_XGLD_CD_CHN,billion_usd
2008,1949.2599535701102,XS2303-A,WB_FI_RES_XGLD_CD_CHN,billion_usd
2009,2416.04368706779,XS2303-A,WB_FI_RES_XGLD_CD_CHN,billion_usd
2010,2866.0793163153703,XS2303-A,WB_FI_RES_XGLD_CD_CHN,billion_usd
2011,3202.7884735634902,XS2303-A,WB_FI_RES_XGLD_CD_CHN,billion_usd
2012,3331.12001377381,XS2303-A,WB_FI_RES_XGLD_CD_CHN,billion_usd
2013,3839.5477602529304,XS2303-A,WB_FI_RES_XGLD_CD_CHN,billion_usd
2014,3859.16796299109,XS2303-A,WB_FI_RES_XGLD_CD_CHN,billion_usd
2015,3345.19376388814,XS2303-A,WB_FI_RES_XGLD_CD_CHN,billion_usd
2016,3029.7753053784,XS2303-A,WB_FI_RES_XGLD_CD_CHN,billion_usd
2017,3158.8769472130402,XS2303-A,WB_FI_RES_XGLD_CD_CHN,billion_usd
2018,3091.88125719908,XS2303-A,WB_FI_RES_XGLD_CD_CHN,billion_usd
2019,3127.49385803636,XS2303-A,WB_FI_RES_XGLD_CD_CHN,billion_usd
2020,3238.78237143371,XS2303-A,WB_FI_RES_XGLD_CD_CHN,billion_usd
2021,3313.92033062885,XS2303-A,WB_FI_RES_XGLD_CD_CHN,billion_usd
2022,3189.68910881378,XS2303-A,WB_FI_RES_XGLD_CD_CHN,billion_usd
2023,3301.31972751898,XS2303-A,WB_FI_RES_XGLD_CD_CHN,billion_usd
2024,3264.8038697391203,XS2303-A,WB_FI_RES_XGLD_CD_CHN,billion_usd
