Year,"Sahr/MeasuringWorth: Inflation conversion factors, 1780-2010","US CPI, 1982-84=100. Sahr (1780-1785), MeasuringWorth (1786-2010)","BLS Manufacturing Productivity, Output per hour index, 1958=100, 1889-2010","BLS Manufacturing Output per hour in 1958 dollars, 1889-2010","BLS Manufacturing Real Unit Labor Cost, 1889=100, 1889-2010","BLS Manufacturing Real Compensation, 1889=100, 1889-2010","Mfg Production Worker Real Compensation (comp/hr / CPI), 1790-2010. Sources: MeasuringWorth + BLS","MeasuringWorth, US CPI 1982-84=100, 1774-2024. Citation: Officer & Williamson 2025. Extends S008 CPI component only","Combined: Shaikh (1780-2010) + MeasuringWorth CPI (2011-2024), re-indexed at splice year 2010"
,S008-A,S008-B,S008-C,S008-D,S008-E,S008-F,S008,S008-EXT,S008-COMBINED
1774,,,,,,,,7.82,0.989156
1775,,,,,,,,7.41,0.937295
1776,,,,,,,,8.46,1.07011
1777,,,,,,,,10.31,1.304118
1778,,,,,,,,13.38,1.692444
1779,,,,,,,,11.84,1.497648
1780,,13.7,,,,,,13.29,1.68106
1781,,11.1,,,,,,10.72,1.355979
1782,,12.1,,,,,,11.76,1.487529
1783,,10.6,,,,,,10.31,1.304118
1784,,10.2,,,,,,9.91,1.253522
1785,,9.700000000000001,,,,,,9.43,1.192806
1786,,9.19,,,,,,9.19,1.162448
1787,,9.02,,,,,,9.02,1.140945
1788,,8.62,,,,,,8.62,1.090349
1789,,8.54,,,,,,8.54,1.080229
1790,0.02,8.86,30.636237897648684,0.06528216704288939,,,,8.86,1.120706
1791,0.02,9.1,31.466113416320884,0.06356043956043957,,,,9.1,1.151064
1792,0.02,9.27,32.05394190871369,0.0623948220064725,,,,9.27,1.172568
1793,0.03,9.59,33.160442600276625,0.09046923879040668,,,,9.59,1.213045
1794,0.03,10.64,36.791147994467494,0.08154135338345865,,,,10.64,1.34586
1795,0.03,12.17,42.08160442600276,0.07129005751848809,,,,12.17,1.53939
1796,0.04,12.81,44.294605809128626,0.09030444964871195,,,,12.81,1.620344
1797,0.03,12.33,42.63485477178423,0.07036496350364964,,,,12.33,1.559629
1798,0.04,11.92,41.21715076071922,0.09704697986577182,,,,11.92,1.507768
1799,0.04,11.92,41.21715076071922,0.09704697986577182,,,,11.92,1.507768
1800,0.04,12.17,42.08160442600276,0.09505341002465079,,,,12.17,1.53939
1801,0.04,12.33,42.63485477178423,0.09381995133819952,,,,12.33,1.559629
1802,0.04,10.39,35.92669432918395,0.11133782483156883,,,,10.39,1.314237
1803,0.04,10.96,37.89764868603043,0.10554744525547445,,,,10.96,1.386337
1804,0.05,11.44,39.55739972337482,0.12639860139860143,,,,11.44,1.447052
1805,0.05,11.36,39.28077455048409,0.12728873239436622,,,,11.36,1.436933
1806,0.05,11.84,40.94052558782849,0.1221283783783784,,,,11.84,1.497648
