Year,"Long Term Eco Growth 1860-1970 US BEA Wash 1973 A173, p.211 (1958=100) NBER, Kendrick_Manufacturing Output per Man Hour","BLS International Data    http://www.bls.gov/fls/#productivity (2002 = 100) Table 1. Output per hour in manufacturing, 19 countries or areas, 1950-2009_Manufacturing Output per Man Hour",Calculated,SplicedIn1950,Rescaled for Graph to 1889,"FRED OPHMFG, Manufacturing Sector: Real Output Per Hour of All Persons, Index 2012=100, annual avg of quarterly. Source: https://fred.stlouisfed.org/series/OPHMFG. Pulled via pull_fred_ch02.py. NOTE: Manufacturing-specific (replaces prior OUTNFB nonfarm proxy).","Spliced Shaikh S007 (1889-2009) + FRED OPHMFG manufacturing output/hr (post-2009), re-indexed at splice year. Manufacturing-specific series."
,S007-A,S007-B,S007-C,S007-D,S007,S007-EXT,S007-COMBINED
1874,15.8,,,,,,
1875,,,,,,,
1876,,,,,,,
1877,,,,,,,
1878,,,,,,,
1879,,,,,,,
1880,,,,,,,
1881,,,,,,,
1882,,,,,,,
1883,,,,,,,
1884,23.9,,,,,,
1885,,,,,,,
1886,,,,,,,
1887,,,,,,,
1888,,,,,,,
1889,22.2,,,22.959427207637233,99.99999999999999,,99.99999999999999
1890,23.9,,,24.717581543357202,107.65765765765765,,107.65765765765765
1891,24.3,,,25.131264916467785,109.45945945945947,,109.45945945945947
1892,26.7,,,27.61336515513127,120.27027027027027,,120.27027027027027
1893,25.5,,,26.372315035799527,114.86486486486488,,114.86486486486488
1894,25.8,,,26.682577565632464,116.21621621621622,,116.21621621621622
1895,27.4,,,28.337311058074786,123.42342342342343,,123.42342342342343
1896,25.9,,,26.785998408910107,116.66666666666669,,116.66666666666669
1897,27.7,,,28.647573587907722,124.77477477477478,,124.77477477477478
1898,27.9,,,28.85441527446301,125.67567567567566,,125.67567567567566
1899,28.6,,,29.578361177406528,128.82882882882885,,128.82882882882885
1900,29.0,,,29.992044550517107,130.63063063063063,,130.63063063063063
1901,31.6,,,32.680986475735885,142.34234234234236,,142.34234234234236
1902,30.1,,,31.129673826571207,135.5855855855856,,135.5855855855856
