Year,"MeasuringWorth, Nominal GDP per Capita (current dollars), 1790-2010. Citation: Williamson, 'What Was the U.S. GDP Then?' MeasuringWorth","MeasuringWorth, Real GDP per Capita (2005 dollars), 1790-2000. Citation: Williamson, 'What Was the U.S. GDP Then?' MeasuringWorth","MeasuringWorth, Real GDP per capita (2017 dollars), 1790-2024. Citation: Williamson 2025","Combined: Shaikh (1780-2000) + MeasuringWorth (2001-2024), re-indexed at splice year 2000"
,S003-A,S003,S003-EXT,S003-COMBINED
1780,47.61,1024.87,,1024.87
1781,50.32,1054.45,,1054.45
1782,53.34,1098.47,,1098.47
1783,57.83,1150.76,,1150.76
1784,70.5,1264.71,,1264.71
1785,83.24,1305.38,,1305.38
1786,87.78,1307.36,,1307.36
1787,83.62,1294.21,,1294.21
1788,81.89,1310.26,,1310.26
1789,85.09,1361.51,,1361.51
1790,89.78,1396.7,1266.23,1396.7
1791,93.28,1420.78,1302.85,1420.78
1792,79.28,1420.96,1357.63,1420.96
1793,83.06,1401.02,1422.52,1401.02
1794,88.03,1411.21,1559.46,1411.21
1795,89.92,1440.54,1607.03,1440.54
1796,95.85,1461.59,1606.92,1461.59
1797,88.51,1416.53,1588.26,1416.53
1798,94.11,1376.04,1605.09,1376.04
1799,97.02,1436.5,1665.24,1436.5
1800,96.8,1470.97,1708.28,1470.97
1801,102.19,1494.0,1729.81,1494.0
1802,101.77,1509.94,1723.57,1509.94
1803,122.04,1552.06,1695.18,1552.06
1804,132.07,1573.4,1704.97,1573.4
1805,110.25,1543.48,1739.94,1543.48
1806,95.01,1501.46,1767.69,1501.46
1807,86.62,1492.64,1717.93,1492.64
1808,80.62,1501.25,1672.92,1501.25
1809,77.08,1484.73,1751.46,1484.73
1810,73.09,1498.65,1799.12,1498.65
1811,73.51,1533.61,1821.41,1533.61
1812,78.28,1546.46,1835.03,1546.46
1813,71.71,1556.73,1881.08,1556.73
1814,69.17,1602.14,1902.28,1602.14
1815,73.27,1625.62,1862.91,1625.62
1816,74.93,1634.32,1811.17,1634.32
1817,76.9,1635.3,1803.26,1635.3
1818,73.05,1608.2,1819.67,1608.2
1819,73.51,1620.43,1807.43,1620.43
1820,78.43,1717.85,1832.97,1717.85
1821,78.49,1807.01,1866.23,1807.01
1822,81.79,1872.85,1880.21,1872.85
1823,81.46,1874.33,1881.76,1874.33
1824,83.24,1850.94,1934.78,1850.94
1825,88.98,1895.18,1966.1,1895.18
1826,95.47,1897.46,1976.76,1897.46
1827,97.46,1860.29,1979.68,1860.29
1828,97.53,1885.41,1954.56,1885.41
1829,98.78,1883.69,1975.61,1883.69
1830,91.03,1837.66,2099.82,1837.66
1831,92.9,1826.35,2204.2,1826.35
1832,88.41,1831.47,2280.95,1831.47
1833,83.29,1868.92,2281.83,1868.92
1834,88.01,1921.89,2252.87,1921.89
1835,93.45,1986.41,2309.22,1986.41
1836,100.67,2083.89,2310.92,2083.89
1837,113.72,2154.24,2272.33,2154.24
1838,110.73,2153.09,2304.85,2153.09
1839,106.63,2109.35,2308.11,2109.35
1840,109.9,2131.71,2245.73,2131.71
1841,111.99,2223.56,2229.2,2223.56
1842,121.48,2390.64,2227.59,2390.64
1843,126.55,2495.11,2262.32,2495.11
1844,136.92,2490.43,2327.71,2490.43
1845,141.99,2512.8,2396.72,2512.8
1846,140.67,2543.06,2520.28,2543.06
1847,141.31,2486.22,2625.63,2486.22
1848,134.82,2520.57,2640.94,2520.57
1849,142.39,2640.56,2605.3,2640.56
1850,137.88,2605.51,2652.96,2605.51
1851,142.75,2594.13,2764.8,2594.13
1852,175.98,2856.71,2974.97,2856.71
1853,226.88,3010.65,3105.13,3010.65
1854,275.11,2976.69,3108.83,2976.69
1855,280.86,2991.78,3133.67,2991.78
1856,249.49,2785.64,3149.8,2785.64
1857,225.69,2763.06,3078.35,2763.06
1858,215.01,2801.48,3113.48,2801.48
1859,201.83,2804.78,3239.71,2804.78
1860,193.89,2813.59,3167.93,2813.59
1861,185.12,2868.02,3157.92,2868.02
1862,195.64,3030.0,3479.65,3030.0
1863,202.49,3200.3,3694.88,3200.3
1864,190.9,3170.2,3684.97,3170.2
1865,179.38,3090.61,3741.32,3090.61
1866,178.82,3151.56,3498.09,3151.56
1867,179.77,3242.69,3488.17,3242.69
1868,173.41,3283.23,3532.89,3283.23
1869,189.98,3595.59,3557.84,3595.59
1870,206.16,3816.27,3561.48,3816.27
1871,225.93,4193.03,3633.3,4193.03
1872,230.91,4296.41,3834.33,4296.41
1873,226.25,4290.16,4052.55,4290.16
1874,211.05,4114.3,4018.32,4114.3
1875,202.92,4034.45,3906.23,4034.45
1876,209.07,4277.96,3961.51,4277.96
1877,221.48,4503.77,4049.83,4503.77
1878,228.76,4663.95,4070.62,4663.95
1879,223.82,4698.82,4426.17,4698.82
1880,239.11,5060.21,4673.07,5060.21
1881,239.16,5010.71,5133.55,5010.71
1882,248.13,5147.16,5281.83,5147.16
1883,228.5,4737.01,5306.22,4737.01
1884,205.24,4418.2,5103.96,4418.2
1885,222.66,4841.13,5010.95,4841.13
1886,217.64,4686.77,5306.71,4686.77
1887,222.98,4804.22,5577.41,4804.22
1888,245.76,5245.57,5782.38,5245.57
1889,260.79,5514.89,5832.83,5514.89
1890,270.29,5556.85,6270.7,5556.85
1891,287.03,5739.42,6213.39,5739.42
1892,303.95,5913.87,6398.76,5913.87
1893,321.58,5975.56,5904.84,5975.56
1894,312.54,5656.37,5513.15,5656.37
1895,343.44,6170.23,6028.23,6170.23
1896,363.21,6300.18,5815.68,6300.18
1897,389.06,6346.36,5955.01,6346.36
1898,339.68,5551.62,6489.23,5551.62
1899,356.16,5835.8,6810.01,5835.8
1900,361.7,5776.26,6857.02,5776.26
1901,365.89,5870.91,7076.79,5870.91
1902,392.14,6051.07,7285.57,6051.07
1903,402.57,6167.66,7354.36,6167.66
1904,368.06,5587.06,6953.86,5587.06
1905,384.65,5657.46,7579.04,5657.46
1906,486.83,6352.56,7730.64,6352.56
1907,577.31,6108.39,7779.17,6108.39
1908,725.35,6586.95,6797.15,6586.95
1909,745.59,6607.38,7139.62,6607.38
1910,830.29,6459.68,7066.79,6459.68
1911,678.13,6190.81,7182.58,6190.81
1912,667.26,6444.86,7403.0,6444.86
1913,762.98,7169.82,7545.64,7169.82
1914,761.96,7250.57,6835.31,7250.57
1915,781.97,7310.68,6921.45,7310.68
1916,825.82,7684.37,7771.84,7684.37
1917,802.66,7651.82,7473.12,7651.82
1918,807.95,7644.85,8058.6,7644.85
1919,850.03,8016.21,8083.6,8016.21
1920,740.33,7247.46,7902.9,7247.46
1921,616.2,6724.98,7573.95,6724.98
1922,469.79,5808.77,7884.76,5808.77
1923,448.72,5699.74,8771.7,5699.74
1924,521.8,6280.59,8870.48,6280.59
1925,575.53,6791.67,8944.03,6791.67
1926,653.76,7629.06,9401.2,7629.06
1927,712.62,7971.4,9361.38,7971.4
1928,662.47,7637.21,9352.85,7637.21
1929,703.67,8187.56,9772.89,8187.56
1930,767.47,8831.99,8846.64,8831.99
1931,949.76,10240.48,8215.93,10240.48
1932,1200.5,11999.11,7110.1,11999.11
1933,1452.4,13771.49,6980.67,13771.49
1934,1588.19,14705.52,7687.08,14705.52
1935,1593.68,14381.68,8313.31,14381.68
1936,1571.55,12675.67,9325.09,12675.67
1937,1693.66,12323.25,9743.26,12323.25
1938,1835.22,12645.35,9347.61,12645.35
1939,1791.03,12364.94,10016.18,12364.94
1940,1936.26,13224.86,10808.95,13224.86
1941,2199.15,14007.01,12601.01,14007.01
1942,2282.83,14296.55,14819.07,14296.55
1943,2377.09,14709.99,17104.12,14709.99
1944,2342.49,14362.87,18243.17,14362.87
1945,2509.15,15128.12,17867.05,15128.12
1946,2600.15,15156.85,15629.93,15156.85
1947,2692.18,15186.78,15157.57,15186.78
1948,2682.88,14801.8,15512.41,14801.8
1949,2860.05,15595.89,15161.41,15595.89
1950,2912.15,15661.1,16208.04,15661.1
1951,2965.03,15766.13,17216.62,15766.13
1952,3138.97,16466.05,17615.35,16466.05
1953,3263.6,16939.78,18139.32,16939.78
1954,3457.57,17674.95,17720.81,17674.95
1955,3700.08,18575.54,18653.76,18575.54
1956,4006.63,19559.1,18718.23,19559.1
1957,4188.13,19836.28,18771.68,19836.28
1958,4532.12,20590.3,18325.38,20590.3
1959,4855.58,21021.43,19264.95,21021.43
1960,5062.68,20819.74,19364.35,20819.74
1961,5425.34,21249.25,19538.81,21249.25
1962,5896.9,22139.92,20419.64,22139.92
1963,6522.16,23200.07,21004.23,23200.07
1964,7010.35,22860.9,21910.93,22860.9
1965,7582.61,22592.27,23044.35,22592.27
1966,8366.42,23574.65,24282.42,23574.65
1967,9215.62,24412.02,24678.49,24412.02
1968,10303.24,25502.52,25634.01,25502.52
1969,11382.19,26009.97,26174.93,26009.97
1970,12243.22,25640.46,25922.4,25640.46
1971,13594.31,26030.4,26440.11,26030.4
1972,14009.25,25281.85,27533.77,25281.85
1973,15083.66,26185.81,28812.06,26185.81
1974,16628.6,27822.62,28393.91,27822.62
1975,17682.99,28717.52,28062.19,28717.52
1976,18531.01,29443.29,29288.45,29443.29
1977,19503.96,30115.34,30336.51,30115.34
1978,20812.78,31069.41,31679.16,31069.41
1979,22160.02,31876.78,32322.55,31876.78
1980,23185.21,32112.35,31868.56,32112.35
1981,23634.68,31614.01,32353.22,31614.01
1982,24685.7,32255.32,31467.41,32255.32
1983,25616.06,32746.79,32612.99,32746.79
1984,26893.4,33670.65,34667.97,33670.65
1985,27813.33,34111.44,35793.65,34111.44
1986,29062.27,34977.42,36698.06,34977.42
1987,30526.31,36101.89,37628.01,36101.89
1988,31842.74,37238.28,38845.02,37238.28
1989,33485.72,38591.91,39892.96,38591.91
1990,35236.78,39749.59,40191.3,39749.59
1991,36049.56,39767.99,39617.4,39767.99
1992,36935.37,40061.71,40471.43,40061.71
1993,38309.75,40696.59,41048.56,40696.59
1994,40385.76,41726.8,42187.85,41726.8
1995,42612.3,42612.3,42811.38,42612.3
1996,44732.02,43331.93,43911.7,43331.93
1997,46448.8,43726.18,45319.43,43726.18
1998,46883.36,43177.7,46803.23,43177.7
1999,45332.59,41313.18,48487.08,41313.18
2000,46843.66,42204.92,49915.37,42204.92
2001,,,49892.89,42185.912496
2002,,,50260.28,42496.551595
2003,,,51190.53,43283.105452
2004,,,52682.58,44544.677808
2005,,,54014.79,45671.10072
2006,,,54993.68,46498.781135
2007,,,55560.56,46978.094923
2008,,,55103.88,46591.958491
2009,,,53212.8,44992.994482
2010,,,54188.79,45818.222861
2011,,,54603.5,46168.872418
2012,,,55422.35,46861.234284
2013,,,56172.36,47495.389897
2014,,,57139.06,48312.763307
2015,,,58363.37,49347.953582
2016,,,58968.48,49859.591964
2017,,,60001.53,50733.066259
2018,,,61418.09,51930.809588
2019,,,62677.0,52995.255186
2020,,,61127.0,51684.684394
2021,,,64758.0,54754.802165
2022,,,66022.0,55823.551508
2023,,,67401.0,56989.536748
2024,,,68658.0,58052.367384
