Year,"[NA] Bank (Fin Corp) Monetary Int Paid; Source: T 7.11, line 4","[NA] NonFin Bus Net Imputed Int Paid; Source: T 7.11, lines (74+75) – lines (53+54)",[NA] Imputed Bus Int Adjustment; Source: -BankMonIntPaid - NFNetImpIntPaid,[Business Sector] GVA Business Sector; Source: GVAbusnipa + BusImpAdj,[Business Sector] SDbus; Source: SDbusnipa,[Business Sector] ECbus (EC including WEQ2); Source: ECbusnipa + WEQ2,[Business Sector] Tbus; Source: Tbusnipa,[Business Sector] GOSbus; Source: GOSbusnipa - WEQ2 + BusImpIntAdj,[Business Sector] CFCbus; Source: CFCbusnipa,[Business Sector] VAbus; Source: VAbusnipa + BusImpIntAdj,[Business Sector] NOSbus; Source: NOSbusnipa  - WEQ2 + BusImpIntAdj,[Business Sector] Business Net Monetary Interest; Source: NIPA bus net int + BusImpIntAdj,[Business Sector] NIPA bus current transfer payments (net); Source: NIPA bus curr transfer payments (net),[Business Sector] NIPA rental income of persons w/CCAdj; Source: NIPA rental inc of persons w/CCAdj,[Business Sector] NIPA bus profits with IVA and CCAdj; Source: Corp Profit + (Proprietors' Income - WEQ2),[Business Sector] 1.014997489833659; Source: Relative to NIPA measures,[Business Sector] 1.0166299607445595; Source: Relative to NIPA measures,[Business Sector] 0.8383237703891585; Source: Relative to NIPA measures,[Business Sector] 0.779486114837026; Source: Relative to NIPA measures,"[Corporate Sector] NonFin Corp Net Imputed Int Paid; Source: T 7.11,  line 74 - line 53",[Corporate Sector] Imputed Bus Int Adjustment; Source: -BankMonIntPaid - CorpNFNetImpIntPaid,"[Corporate Sector] GVAcorp; Source: GVAcorpnipa (T 1.14, 1) + CorpImpIntAdj","[Corporate Sector] ECcorp; Source: ECcorpnipa (T 1.14, 4)","[Corporate Sector] Tcorp; Source: Tcorpnipa (T 1.14, 7)","[Corporate Sector] GOScorp; Source: GOScorpnipa (T 1.14, 2 + 8) + CorpImpIntAdj","[Corporate Sector] CFCcorp; Source: CFCcorpnipa (T 1.14, 2)","[Corporate Sector] VAcorp; Source: VAcorpnipa (T 1.14, 1 - 2) + CorpImpIntAdj","[Corporate Sector] NOScorp; Source: NOScorpnipa (T 1.14, 8) + CorpImpIntAdj",[Corporate Sector] Corp Net Monetary Interest; Source: Corpnetintnipa + CorpNFNetImpIntPaid,"[Corporate Sector] Corp current transfer payments (net); Source: NIPA Corp curr transfers (net) (T 1.14, 10)",[Corporate Sector] Corporate profits; Source: Pcorpnipa,[Corporate Sector] 1.0955704779331243; Source: Relative effect of imputed interest adjustment,[Non-Corporate Sector] GVAbus - GVAcorp; Source: GVAbus - GVAcorp,[Non-Corporate Sector] SDnipa; Source: SDnipa,[Non-Corporate Sector] ECbus-ECcorp; Source: ECbus-ECcorp,[Non-Corporate Sector] Tbus-Tcorp; Source: Tbus-Tcorp,[Non-Corporate Sector] GOSbus - GOScorp; Source: GOSbus - GOScorp - WEQ2,[Non-Corporate Sector] CFCbus-CFCcorp; Source: CFCbus-CFCcorp,[Non-Corporate Sector] VAbus - VAcorp; Source: VAbus - VAcorp,[Non-Corporate Sector] NOSbus - NOScorp - WEQ2; Source: NOSbus - NOScorp - WEQ2,[Non-Corporate Sector] NetIntbus-NetIntbus; Source: BusNetInt-CorpNetInt,[Non-Corporate Sector] Bus transf - Corp transfers; Source: Bustransfers - Corptransfers,[Non-Corporate Sector] Bus rental Income of persons; Source: Bus rental Income of persons,[Non-Corporate Sector] Proprietors' Income  - WEQ2; Source: Proprietors' Income  - WEQ2,"[Sectoral Profit Rates] Business Net Fixed Capital, Current-Cost (end of yr); Source: KNCcorp + KNCnoncorp (see below)","[Sectoral Profit Rates] Corporate Net Fixed Capital, Current-Cost (end of yr); Source: Fixed Asset Table 6.1, line 2","[Sectoral Profit Rates] Proprietor and Partner Net Fixed Capital, Current-Cost (end of yr); Source: Fixed Asset Table 6.1, lines 6 + 7",[Sectoral Profit Rates] Business profit rate; Source: Pbus/KNCbus(-1),[Sectoral Profit Rates] Corporate profit rate; Source: Pcorp/KNCcorp(-1),[Sectoral Profit Rates] Noncorporate profit rate; Source: Pnoncorp/KNCnoncorp(-1),[Sectoral Profit Rates] Noncorp profit rate using WEQ1; Source: Pnoncorp1/KNCprop(-1) (Appendix Table 6.8.2),"BEA T7.11 line 4: Bank monetary interest paid, post-2011","Imputed Business Interest Adjustment, BEA-derived post-2011","Corporate NOS adjusted for imputed interest, BEA-derived post-2011","Corporate Net Fixed Capital Current-Cost, FA T6.1 line 2, post-2011","Corporate profit rate r=NOS/KNC(-1), BEA-derived post-2011",Spliced Shaikh Corp NOS adj (1947-2011) + BEA (post-2011),Spliced Shaikh KNCcorp (1925-2011) + BEA FA T6.1 (post-2011),Spliced Shaikh KNCnoncorp (1925-2011) + BEA FA T6.1 (post-2011),Spliced Shaikh rcorp (1947-2011) + BEA-derived (post-2011),Spliced Shaikh rnoncorp (1947-2011) + BEA-derived (post-2011),"Corporate VA adjusted for imputed interest, BEA-derived post-2011","Corporate Net Monetary Interest, ratio-spliced post-2011","NIPA Corporate Profits, BEA T1.14 line 11, post-2011",Spliced Shaikh VAcorp (1947-2011) + BEA-derived (post-2011),Spliced Shaikh NMINTcorp (1947-2011) + ratio-spliced (post-2011),Spliced Shaikh Pcorpnipa (1947-2011) + BEA T1.14 (post-2011)
,S208A,S208B,S208C,S208D,S208E,S208F,S208G,S208H,S208I,S208J,S208K,S208L,S208M,S208N,S208O,S208P,S208Q,S208R,S208S,S208T,S208U,S208V,S208W,S208X,S208Y,S208Z,S208AA,S208AB,S208AC,S208AD,S208AE,S208AF,S208AG,S208AH,S208AI,S208AJ,S208AK,S208AL,S208AM,S208AN,S208AO,S208AP,S208AQ,S208AR,S208AS,S208AT,S208AU,S208AV,S208AW,S208AX,S208AY,S208A_EXT,S208C_EXT,S208AB_EXT,S208AS_EXT,S208AW_EXT,S208AB_COMBINED,S208AS_COMBINED,S208AT_COMBINED,S208AW_COMBINED,S208AX_COMBINED,S208AA_EXT,S208AC_EXT,S208AE_EXT,S208AA_COMBINED,S208AC_COMBINED,S208AE_COMBINED
1947,-0.5999999999999996,-1.3,1.8999999999999997,202.635,2.3,127.2251739961759,16.5,56.60982600382407,13.600000000000003,189.035,42.966826003824075,3.0999999999999996,0.7,4.2,34.866826003824094,1.009465215333649,1.0101530980308333,0.736694637167004,0.6798548418326597,-0.9,1.4999999999999996,127.5,82.1,11.5,33.8,8.9,118.6,24.9,1.7999999999999996,0.6,22.5,1.064102564102564,75.13499999999999,2.3,45.1251739961759,5.0,22.80982600382407,4.700000000000003,70.435,18.066826003824076,1.3,0.09999999999999998,4.2,12.366826003824094,271.6,190.1,81.5,0.15326077364318283,0.14106583072100312,0.1818650882915308,0.09717117903548299,,,,,,24.9,271.6,190.1,0.1410658307,0.1818650883,,,,118.6,1.8,22.5
1948,-0.8999999999999995,-1.4,2.2999999999999994,226.83300000000003,-0.5,139.44715492957747,17.9,69.98584507042254,16.1,210.73300000000003,53.90884507042255,3.3999999999999995,0.7,4.6,45.308845070422535,1.010243483140563,1.0110347209894788,0.7675822309400674,0.717827497608822,-1.0,1.8999999999999995,146.4,91.1,12.7,42.5,10.4,136.0,32.1,1.8999999999999995,0.6,29.6,1.0629139072847682,80.43300000000002,-0.5,48.34715492957747,5.199999999999999,27.485845070422542,5.700000000000001,74.73300000000003,21.80884507042255,1.5,0.09999999999999998,4.6,15.708845070422534,297.0,208.0,89.0,0.16682196270405938,0.15570752235665442,0.19274656528125808,0.11211277624676858,,,,,,32.1,297.0,208.0,0.1557075224,0.1927465653,,,,136.0,1.9,29.6
1949,-1.0999999999999988,-1.4,2.4999999999999987,222.38799999999998,1.8,133.70884536082477,18.899999999999995,67.97915463917525,17.5,204.88799999999998,50.45815463917525,3.7999999999999985,0.7,4.5,41.55815463917527,1.0113694244342575,1.01235251101844,0.7893446968703948,0.735541612815966,-1.0,2.0999999999999988,143.6,88.8,13.4,41.4,11.2,132.4,30.2,2.0999999999999988,0.6,27.6,1.0747330960854091,78.78799999999998,1.8,44.90884536082477,5.499999999999995,26.57915463917525,6.300000000000001,72.48799999999997,20.25815463917525,1.6999999999999997,0.09999999999999998,4.5,13.958154639175266,303.1,212.2,90.9,0.13992644659654974,0.1326923076923077,0.15683319819298053,0.04827664461795853,,,,,,30.2,303.1,212.2,0.1326923077,0.1568331982,,,,132.4,2.1,27.6
1950,-1.0000000000000009,-1.5999999999999999,2.6000000000000005,246.76,1.4,145.80311044327573,20.499999999999996,79.05688955672429,18.599999999999994,228.16,60.41688955672429,4.0,0.9,4.8,50.81688955672426,1.01064875491481,1.0115268664656853,0.8105073770424879,0.7657400450788882,-1.2,2.200000000000001,162.6,98.7,14.8,49.2,12.0,150.6,37.2,2.100000000000001,0.7,34.4,1.062857142857143,84.16,1.4,47.103110443275725,5.699999999999996,29.856889556724283,6.599999999999994,77.56,23.21688955672429,1.899999999999999,0.20000000000000007,4.8,16.416889556724268,341.1,238.2,102.9,0.16765717438708103,0.16211121583411875,0.1806038455085178,0.06117878611871503,,,,,,37.2,341.1,238.2,0.1621112158,0.1806038455,,,,150.6,2.1,34.4
1951,-1.2999999999999998,-1.6999999999999997,2.9999999999999996,283.05499999999995,3.6,168.1451164606376,21.9,89.4098835393624,21.299999999999997,261.75499999999994,68.16888353936238,4.5,1.2,5.1,57.3688835393624,1.0107121815357698,1.0115939788603119,0.8066499178044442,0.7608134323589553,-1.2999999999999998,2.5999999999999996,186.5,114.6,15.9,56.1,13.6,172.9,42.5,2.3999999999999995,1.1,39.1,1.0651629072681705,96.55499999999995,3.6,53.545116460637615,5.999999999999998,33.309883539362396,7.6999999999999975,88.85499999999993,25.668883539362383,2.1000000000000005,0.09999999999999987,5.1,18.2688835393624,369.5,258.3,111.2,0.16818787317315273,0.16414777497900926,0.1775401704505578,0.08705105904533114,,,,,,42.5,369.5,258.3,0.164147775,0.1775401705,,,,172.9,2.4,39.1
1952,-1.4000000000000012,-1.9,3.300000000000001,295.0680000000001,2.7,179.91901875,24.300000000000004,88.14898125000006,22.699999999999996,272.3680000000001,65.42198125000006,5.000000000000001,1.3,5.299999999999999,54.121981250000005,1.011310356173398,1.0122645576582872,0.7953746041127164,0.7425877553916007,-1.4,2.800000000000001,195.4,123.0,17.3,55.1,14.5,180.9,40.6,2.600000000000001,1.1,37.0,1.0740740740740742,99.66800000000009,2.7,56.91901874999999,7.0000000000000036,33.04898125000006,8.199999999999996,91.4680000000001,24.821981250000057,2.4,0.19999999999999996,5.299999999999999,17.121981250000008,387.79999999999995,273.2,114.6,0.14647356224627878,0.143244289585753,0.15397465152877704,0.06788948142598104,,,,,,40.6,387.8,273.2,0.1432442896,0.1539746515,,,,180.9,2.6,37.0
1953,-1.1999999999999975,-2.1,3.2999999999999976,311.649,4.0,192.15271453590194,26.3,89.19628546409808,23.700000000000003,287.949,65.58728546409809,5.299999999999997,1.2,5.4,53.487285464098065,1.0107021589173306,1.0115932253406827,0.7984700020956061,0.744464080182725,-1.6,2.7999999999999976,209.0,134.0,18.5,56.49999999999999,15.4,193.6,41.099999999999994,2.7999999999999976,1.0,37.3,1.073107049608355,102.649,4.0,58.152714535901936,7.800000000000001,32.69628546409809,8.300000000000002,94.34900000000002,24.487285464098093,2.4999999999999996,0.19999999999999996,5.4,16.187285464098068,403.2,286.7,116.5,0.13792492383728228,0.13653001464128842,0.14125030945984354,0.04381373383925669,,,,,,41.1,403.2,286.7,0.1365300146,0.1412503095,,,,193.6,2.8,37.3
1954,-1.4000000000000004,-2.1,3.5000000000000004,309.402,3.1,190.58284460260973,26.1,89.61915539739023,24.800000000000008,284.602,64.87515539739026,5.9,1.0,5.4,52.47515539739027,1.011441572791286,1.0124509964354576,0.7977208876076183,0.7405839657236333,-1.6,3.0000000000000004,206.6,132.2,17.9,56.5,16.2,190.4,40.3,3.2000000000000006,0.8,36.4,1.0804289544235925,102.80199999999999,3.1,58.38284460260974,8.200000000000003,33.11915539739023,8.600000000000009,94.20199999999997,24.57515539739026,2.6999999999999997,0.19999999999999996,5.4,16.075155397390272,413.1,295.0,118.1,0.13014671477527348,0.1269619811649808,0.13798416650120404,0.041934849558125535,,,,,,40.3,413.1,295.0,0.1269619812,0.1379841665,,,,190.4,3.2,36.4
1955,-1.6000000000000032,-2.2,3.8000000000000034,338.748,2.4,203.40198326359834,28.4,104.54601673640171,25.899999999999995,312.848,78.6500167364017,6.5000000000000036,1.4,5.4,65.55001673640169,1.0113450446039385,1.0122958245968263,0.8290985973893041,0.7849303067505158,-1.7000000000000002,3.3000000000000034,232.8,144.6,19.8,68.39999999999999,17.1,215.70000000000002,51.300000000000004,3.5000000000000036,1.2,46.6,1.06875,105.94799999999998,2.4,58.801983263598345,8.599999999999998,36.14601673640172,8.799999999999994,97.148,27.35001673640169,3.0,0.19999999999999996,5.4,18.950016736401686,451.7,324.7,127.0,0.15867832664343182,0.15796610169491526,0.16045738134125054,0.04831345736301058,,,,,,51.3,451.7,324.7,0.1579661017,0.1604573813,,,,215.7,3.5,46.6
