Year,"BEA Current-Cost Corporate Net Stock; Source: FA Table 6.1, line 2: Bill-$","BEA Chain-Index Real Corporate Net Stock; Source: FA Table 6.2, line 2: 2005 = 100",BEA Constant-Cost Corporate Net Stock; Source: KNRIndex(t)*KNC(2005)/100: Bills-2005$,"Implicit Price Deflator, Net Corporate Capital Stock; Source: (KNCcorp/KNRcorp)*100","BEA Historical-Cost Corporate Net Stock; Source: FA Table 6.3, line 2: Bill-$","Current-Cost Corporate Depreciation; Source: FA Table 6.4, line 2: Bill-$",Correct Depreciation Rate; Source: DEPcorp/[(pKN/100)*KNR(-1)],"Historical-Cost Corporate Depreciation; Source: FA Table 6.6, line 2: Bill-$","Current-Cost Gross Investment; Source: FA Table 6.7, line 2: Bill-$","Chain-Type Quantity Index Gross Investment; Source: FA Table 6.8, line 2: Bill-$",Constant-Cost Quantity Index Gross Investment; Source: (IGRcorpindexbea(t)/100)*IGCcorpbea(2005): Bills-2005$,"Implicit Price Deflator, Gross Investment; Source: (IGCcorpbea/IGRcorpbea)*100",Current-cost approximation using Ch 6 eq. 6.57; Source: KNC' = IGC + (1-d)*(pKN/pKN(-1))*KNC'(-1),Constant-cost approximation using Ch 6 eq. 6.58; Source: KNR' = (IGC*100/pKN) + (1-d)*KNR'(-1),"Historical-cost approximation using Ch 6 eq. 6.59; Source: KNH = INH + KNH(-1)                                                                              where INH = IGC - DEPH, DEPH = hist cost deprec",Whelan-Liu Depreciation Rate; Source: Depcorp/KNCcorpbea(-1),Relative Current-Cost Approximation; Source: KNCcorp'/KNCcorp,Relative Constant-Cost Approximation; Source: KNRcorp'/KNRcorp,Relative Historical-Cost Approximation; Source: KNHcorp'/KNhcorp,"BEA FA T6.1 line 2: Corp current-cost net stock, post-2011","BEA FA T6.2 line 2: Corp chain index net stock, post-2011","Implicit price deflator net capital stock, BEA-derived post-2011","BEA FA T6.3 line 2: Corp historical-cost net stock, post-2011","BEA FA T6.4 line 2: Corp current-cost depreciation, post-2011","Correct depreciation rate, BEA-derived post-2011","BEA FA T6.7 line 2: Corp gross investment, post-2011","BEA FA T6.8 line 2: Corp chain-type investment index, post-2011",Spliced Shaikh KNCcorp (1925-2011) + BEA (post-2011),Spliced Shaikh KNR index (1925-2011) + BEA (post-2011),Spliced Shaikh DEPcorp (1925-2011) + BEA (post-2011),Spliced Shaikh IGCcorp (1925-2011) + BEA (post-2011)
,S209A,S209B,S209C,S209D,S209E,S209F,S209G,S209H,S209I,S209J,S209K,S209L,S209M,S209N,S209O,S209P,S209Q,S209R,S209S,S209A_EXT,S209B_EXT,S209D_EXT,S209E_EXT,S209F_EXT,S209G_EXT,S209I_EXT,S209J_EXT,S209A_COMBINED,S209B_COMBINED,S209F_COMBINED,S209I_COMBINED
1925,98.1,13.038,1403.970954,6.987324041178134,69.2,4.5,,4.0,7.3,4.341,46.24033200000001,15.787083881664168,98.1,1403.970954,69.2,,1.0,1.0,1.0,,,,,,,,,98.1,13.038,4.5,7.3
1926,101.0,13.38,1440.79854,7.010001550945491,72.3,4.7,0.04775530475274864,4.2,7.3,4.369,46.538588000000004,15.685907789037346,101.0183856502242,1441.0608174059407,72.3,0.04791029561671764,1.0001820361408338,1.000182036140834,1.0,,,,,,,,,101.0,13.38,4.7,7.3
1927,102.4,13.649,1469.7652669999998,6.967098917027275,74.9,4.8,0.04781740470852016,4.3,6.9,4.1,43.673199999999994,15.799162873341091,102.49925882971768,1471.1899464957235,74.89999999999999,0.047524752475247525,1.0009693245089617,1.0009693245089617,0.9999999999999998,,,,,,,,,102.4,13.649,4.8,6.9
1928,104.7,13.929,1499.916507,6.980388542387048,77.5,4.9,0.04776046021613095,4.3,7.0,4.202,44.759704000000006,15.639066782032337,104.7900247718437,1501.2061883880347,77.6,0.0478515625,1.0008598354521843,1.000859835452184,1.001290322580645,,,,,,,,,104.7,13.929,4.9,7.0
1929,103.6,14.298,1539.6515339999999,6.728795296351779,80.9,5.0,0.04954109520122873,4.4,7.7,4.686,49.915272,15.426140520680725,103.708792215535,1541.2683496518887,80.89999999999999,0.04775549188156638,1.0010501179105695,1.0010501179105693,0.9999999999999998,,,,,,,,,103.6,14.298,5.0,7.7
1930,98.5,14.519,1563.449477,6.30017160445793,82.7,4.8,0.04948418471789388,4.5,6.4,4.075,43.4069,14.744199654893578,98.69751034729495,1566.584476484064,82.8,0.04633204633204633,1.0020051811908117,1.0020051811908113,1.0012091898428053,,,,,,,,,98.5,14.519,4.8,6.4
1931,88.4,14.442,1555.157886,5.684310306741422,82.3,4.5,0.0506350081450457,4.4,4.0,2.74,29.186480000000003,13.704975728487984,88.54049954523617,1557.6295938705134,82.39999999999999,0.04568527918781726,1.00158936137145,1.0015893613714495,1.0012150668286754,,,,,,,,,88.4,14.442,4.5,4.0
1932,82.4,14.169,1525.760427,5.40058573691137,80.4,4.0,0.04762605830082969,4.2,2.4,1.776,18.917952000000003,12.686362667586849,82.51476423499568,1527.8854601091173,80.6,0.04524886877828054,1.0013927698421805,1.00139276984218,1.0024875621890545,,,,,,,,,82.4,14.169,4.0,2.4
1933,83.2,13.891,1495.824553,5.562149640687173,78.6,3.8,0.04477695755088301,4.0,2.2,1.663,17.714275999999998,12.419361649327358,83.37798310417058,1499.0244508033347,78.8,0.046116504854368925,1.0021392200020502,1.0021392200020498,1.0025445292620865,,,,,,,,,83.2,13.891,3.8,2.2
