Year,"BEA 2011 initial value; Source: FA Table 6.1, line 1","BEA 1993 initial value; Source: Table A.13, p. 294","SCB  1985 initial value; Source: Table 6, p. 56",Ratio KNCcorp1' to KNCcorpbea; Source: KNCcorp1'/KNCcorpbea,Ratio KNCcorp2' to KNCcorpbea; Source: KNCCorp2'/KNCorpbea,"BEA FA T6.1 extension data, post-2011",Spliced Shaikh S210A + BEA FA (post-2011). Note: Full GPIM recalculation in Table68II1.
,S210A,S210B,S210C,S210D,S210E,S210A_EXT,S210A_COMBINED
1925,98.1,77.769,67.1,0.7927522935779817,0.6839959225280327,,98.1
1926,101.0183856502242,81.59546517464105,71.40299365066303,0.8077288569742646,0.7068316642664993,,101.0183856502
1927,102.49925882971768,84.11828006211474,74.47258322125319,0.8206720811694911,0.7265670412795346,,102.4992588297
1928,104.7900247718437,87.25354314712506,78.05100896513088,0.8326512312321681,0.7448324316657915,,104.7900247718
1929,103.708792215535,87.64183904737861,79.21046216719265,0.8450762676440692,0.7637776940124018,,103.7087922155
1930,98.69751034729495,84.39843555713188,76.89477961614273,0.8551222341896187,0.7790954335683526,,98.6975103473
1931,88.54049954523617,76.2924608506288,69.86511714728088,0.8616673865912656,0.7890752537666239,,88.5404995452
1932,82.51476423499568,71.43227952574414,65.61657791918246,0.8656908880247238,0.7952101484809617,,82.514764235
1933,83.37798310417058,72.47504028150546,66.75355599765248,0.869234749789483,0.8006137053501533,,83.3779831042
1934,84.32944287028377,73.65514834880601,68.05365072204654,0.8734214983739778,0.8069975136291037,,84.3294428703
1935,83.88818092520748,73.67479188476533,68.3151613858977,0.8782499640855469,0.8143597898112217,,83.8881809252
1936,92.108108568649,81.3931181896529,75.77026479564817,0.8836694125467778,0.8226231758865824,,92.1081085686
1937,95.30173765222506,84.84341569807626,79.35525294519573,0.8902609520897374,0.8326737255807317,,95.3017376522
1938,93.98677847785156,84.12268898797144,78.94635871560259,0.8950481158133893,0.8399730259315854,,93.9867784779
1939,94.38998174480437,84.94536360276845,79.98915726971147,0.8999404601266829,0.8474327019786124,,94.3899817448
1940,100.1271191385587,90.6687790920043,85.705371981843,0.9055366804924679,0.8559656236912351,,100.1271191386
1941,112.09641298920137,102.1497642860054,96.93010981675161,0.9112670206123886,0.8647030465291446,,112.0964129892
1942,118.85777381507322,108.77258091389854,103.48022327961426,0.9151490678525925,0.8706222568211284,,118.8577738151
1943,119.34931875046212,109.60424699799069,104.49037308489648,0.918348325281633,0.875500373013163,,119.3493187505
1944,120.22152321319321,110.87881421900948,105.97608625388494,0.9222875509769082,0.881506767020026,,120.2215232132
1945,131.1996878155243,121.63330960140186,116.61320782743731,0.9270853584074573,0.8888222965240848,,131.1996878155
1946,158.80679353617552,148.10242880213488,142.4851513761607,0.9325950452390298,0.8972232749205605,,158.8067935362
1947,189.04116128281086,177.35710814832896,171.22572440469662,0.9381930736396491,0.9057589534616651,,189.0411612828
1948,206.87370626777658,195.1876416278055,189.0552023162196,0.9435111167542738,0.9138677201998171,,206.8737062678
1949,211.07398212509025,200.0657685011963,194.28904177091613,0.9478466577781713,0.9204784020030155,,211.0739821251
1950,236.5210037775323,225.11397241642078,219.12796004163843,0.9517715924635566,0.9264630055762259,,236.5210037775
1951,256.91692685714355,245.57278904920742,239.61978101847248,0.9558451132562241,0.9326741680656604,,256.9169268571
1952,271.81244408967194,260.81291233442727,255.04074154613812,0.9595326410014698,0.9382967818132684,,271.8124440897
1953,285.31081993684836,274.7686350634624,269.23646397428064,0.9630501749785746,0.943660194989711,,285.3108199368
1954,293.7023418634677,283.7405825062461,278.51299849256264,0.9660821248682705,0.9482832064785983,,293.7023418635
1955,322.93764787479887,312.886504537351,307.6120149270401,0.9688759009561356,0.9525430588579117,,322.9376478748
1956,358.22258143301286,348.07542231795543,342.75054697495466,0.9716735916689971,0.9568088801209439,,358.222581433
1957,384.2838584579928,374.38706861905035,369.19357834352644,0.9742461474217131,0.9607314234456301,,384.283858458
1958,391.8943218769265,382.5792996329047,377.6911007090215,0.9762307802792122,0.9637575224364555,,391.8943218769
1959,409.14090028312654,400.19319381240575,395.49774940061485,0.9781305010950287,0.9666541505064133,,409.1409002831
1960,417.4872691448491,409.1355859304634,404.75291374442816,0.9799953583459138,0.9694976198280127,,417.4872691448
1961,427.9695647057481,420.1123503111782,415.9891581231075,0.9816407169047824,0.972006405196412,,427.9695647057
1962,441.91712146768356,434.5070004725815,430.6184273135267,0.9832318762158575,0.9744325494413253,,441.9171214677
1963,456.45722530905874,449.4807262537896,445.81970277139,0.9847159850508544,0.9766954668524169,,456.4572253091
1964,482.3239550040442,475.656701554587,472.1579593848827,0.986176814607101,0.9789228888308559,,482.323955004
1965,515.908571119938,509.5387288107102,506.19605763874864,0.9876531566525439,0.9811739637120094,,515.9085711199
1966,561.3369755375326,555.1939644410036,551.970326381446,0.9890564645404901,0.983313678656003,,561.3369755375
1967,608.2310126300881,602.2850504271194,599.1648167571832,0.9902241712778547,0.9850941571793564,,608.2310126301
