Year,rslarge,rssmall,rbcorplt,rbgovlt,rbgovintermed,rbtbills,inflrate
,S040A,S040B,S040C,S040D,S040E,S040F,S040
1926,11.62,0.28,7.37,7.77,5.38,3.27,-1.49
1927,37.49,22.1,7.44,8.93,4.52,3.12,-2.08
1928,43.61,39.69,2.84,0.1,0.92,3.56,-0.97
1929,-8.42,-51.36,3.27,3.42,6.01,4.75,0.2
1930,-24.9,-38.15,7.98,4.66,6.72,2.41,-6.03
1931,-43.34,-49.75,-1.85,-5.31,-2.32,1.07,-9.52
1932,-8.19,-5.39,10.82,16.84,8.81,0.96,-10.3
1933,53.99,142.87,10.38,-0.07,1.83,0.3,0.51
1934,-1.44,24.22,13.84,10.03,9.0,0.16,2.03
1935,47.67,40.19,9.61,4.98,7.01,0.17,2.99
1936,33.92,64.8,6.74,7.52,3.06,0.18,1.21
1937,-35.03,-58.01,2.75,0.23,1.56,0.31,3.1
1938,31.12,32.8,6.13,5.53,6.23,-0.02,-2.78
1939,-0.41,0.35,3.97,5.94,4.52,0.02,-0.48
1940,-9.78,-5.16,3.39,6.09,2.96,0.0,0.96
1941,-11.59,-9.0,2.73,0.93,0.5,0.06,9.72
1942,20.34,44.51,2.6,3.22,1.94,0.27,9.29
1943,25.9,88.37,2.83,2.08,2.81,0.35,3.16
1944,19.75,53.72,4.73,2.81,1.8,0.33,2.11
1945,36.44,73.61,4.08,10.73,2.22,0.33,2.25
1946,-8.07,-11.63,1.72,-0.1,1.0,0.35,18.16
1947,5.71,0.92,-2.34,-2.62,0.91,0.5,9.01
1948,5.5,-2.11,4.14,3.4,1.85,0.81,2.71
1949,18.79,19.75,3.31,6.45,2.32,1.1,-1.8
1950,31.71,38.75,2.12,0.06,0.7,1.2,5.79
1951,24.02,7.8,-2.69,-3.93,0.36,1.49,5.87
1952,18.37,3.03,3.52,1.16,1.63,1.66,0.88
1953,-0.99,-6.49,3.41,3.64,3.23,1.82,0.62
1954,52.62,60.58,5.39,7.19,2.68,0.86,-0.5
1955,31.56,20.44,0.48,-1.29,-0.65,1.57,0.37
1956,6.56,4.28,-6.81,-5.59,-0.42,2.46,2.86
1957,-10.78,-14.57,8.71,7.46,7.84,3.14,3.02
1958,43.36,64.89,-2.22,-6.09,-1.29,1.54,1.76
