Quarter,DTF%YPD.Q,DTFD%YPD.Q
,S093A,S093
1980Q1,0.159455,0.111181
1980Q2,0.159929,0.11091
1980Q3,0.156724,0.107849
1980Q4,0.153452,0.105052
1981Q1,0.154486,0.105674
1981Q2,0.156553,0.106986
1981Q3,0.154705,0.10545
1981Q4,0.155863,0.105961
1982Q1,0.157094,0.106828
1982Q2,0.15747,0.107169
1982Q3,0.156361,0.105889
1982Q4,0.156174,0.105346
1983Q1,0.156147,0.10524
1983Q2,0.156224,0.105349
1983Q3,0.155725,0.105091
1983Q4,0.156385,0.10583
1984Q1,0.156497,0.106492
1984Q2,0.157689,0.107831
1984Q3,0.158728,0.108581
1984Q4,0.160835,0.109979
1985Q1,0.165432,0.113562
1985Q2,0.16651,0.114503
1985Q3,0.171336,0.117859
1985Q4,0.172947,0.119046
1986Q1,0.173171,0.119421
1986Q2,0.174461,0.120285
1986Q3,0.176103,0.121544
1986Q4,0.178398,0.123174
1987Q1,0.17682,0.121708
1987Q2,0.179297,0.123293
1987Q3,0.177278,0.121841
1987Q4,0.175197,0.120246
1988Q1,0.174333,0.119764
1988Q2,0.173708,0.119584
1988Q3,0.172939,0.119115
1988Q4,0.171473,0.117854
1989Q1,0.170383,0.117314
1989Q2,0.172236,0.118886
1989Q3,0.173228,0.119703
1989Q4,0.173359,0.119779
1990Q1,0.172661,0.119232
1990Q2,0.172545,0.118965
1990Q3,0.172663,0.118843
1990Q4,0.173265,0.119025
1991Q1,0.173108,0.118681
1991Q2,0.171549,0.117129
1991Q3,0.170519,0.116031
1991Q4,0.168459,0.114129
1992Q1,0.1658,0.11187
1992Q2,0.164168,0.110295
1992Q3,0.162545,0.108763
1992Q4,0.160394,0.107006
1993Q1,0.162768,0.108804
1993Q2,0.160168,0.10697
1993Q3,0.160921,0.107459
1993Q4,0.159524,0.106298
1994Q1,0.161809,0.107653
1994Q2,0.161565,0.107641
1994Q3,0.162763,0.108766
1994Q4,0.163656,0.109968
1995Q1,0.165776,0.111936
1995Q2,0.168265,0.114135
1995Q3,0.169608,0.115326
1995Q4,0.170419,0.116123
1996Q1,0.170393,0.116535
1996Q2,0.170521,0.117023
1996Q3,0.17124,0.11772
1996Q4,0.171987,0.118409
1997Q1,0.171785,0.118052
1997Q2,0.172423,0.118364
1997Q3,0.172483,0.118531
1997Q4,0.171604,0.118161
1998Q1,0.169036,0.116533
1998Q2,0.1688,0.116795
1998Q3,0.168499,0.11669
1998Q4,0.169208,0.117259
1999Q1,0.170169,0.118017
1999Q2,0.171871,0.119422
1999Q3,0.173094,0.120613
1999Q4,0.172269,0.120383
2000Q1,0.170398,0.119522
2000Q2,0.171712,0.121131
2000Q3,0.172795,0.122462
2000Q4,0.175282,0.12462
2001Q1,0.176242,0.125607
2001Q2,0.178728,0.127541
2001Q3,0.176631,0.126159
2001Q4,0.181412,0.12993
2002Q1,0.178735,0.128378
2002Q2,0.178669,0.128782
2002Q3,0.180133,0.130261
2002Q4,0.180446,0.130962
2003Q1,0.180218,0.131325
2003Q2,0.178826,0.130791
2003Q3,0.17729,0.130041
2003Q4,0.177797,0.130704
2004Q1,0.178249,0.131283
2004Q2,0.177656,0.130917
2004Q3,0.178969,0.13226
2004Q4,0.17813,0.13192
2005Q1,0.182681,0.135605
2005Q2,0.18372,0.136663
2005Q3,0.182345,0.135448
2005Q4,0.183243,0.136291
2006Q1,0.18413,0.137383
2006Q2,0.184921,0.137999
2006Q3,0.186507,0.139143
2006Q4,0.187226,0.13937
2007Q1,0.1876,0.139316
2007Q2,0.188528,0.139797
2007Q3,0.189795,0.140872
2007Q4,0.188892,0.140329
2008Q1,0.185357,0.137531
2008Q2,0.180412,0.133564
2008Q3,0.182582,0.13449
2008Q4,0.184676,0.135098
2009Q1,0.186716,0.135552
2009Q2,0.18466,0.133054
2009Q3,0.184274,0.131966
2009Q4,0.181161,0.129155
2010Q1,0.175768,0.124756
2010Q2,0.171342,0.121076
2010Q3,0.168889,0.118664
2010Q4,0.16602,0.115766
2011Q1,0.161731,0.111848
2011Q2,0.161013,0.110912
2011Q3,0.160718,0.110273
2011Q4,0.160569,0.109807
2012Q1,0.158572,0.107728
2012Q2,0.157793,0.10679
2012Q3,0.156918,0.105605
2012Q4,0.154849,0.103753
