,"Sahr (1780-1785) + MeasuringWorth (1786-2010), Inflation conversion factors","Sahr (1780-1785) + MeasuringWorth (1786-2010), Index 1982-84=100","BLS Manufacturing Productivity Index, Index 1958=100","BLS, 1958 dollars","Derived from S008-C+S008-D, ratio. Formula: Real unit labor cost calculation","Derived from S008-C+S008-D, calculated. Formula: Manufacturing real compensation calculation",Composite final series,Composite final series,Composite final series
Year,S008-A,S008-B,S008-C,S008-D,S008-E,S008-F,S008,S008-COMBINED,S008-EXT
1780,,13.7,,,,,,,
1781,,11.1,,,,,,,
1782,,12.1,,,,,,,
1783,,10.6,,,,,,,
1784,,10.2,,,,,,,
1785,,9.7,,,,,,,
1786,,9.19,,,,,,,
1787,,9.02,,,,,,,
1788,,8.62,,,,,,,
1789,,8.54,,,,,,,
1790,0.02,8.86,30.636237897648684,0.0652821670428893,,,30.636237897648684,30.636237897648684,
1791,0.02,9.1,31.466113416320884,0.0635604395604395,,,31.466113416320884,31.466113416320884,
1792,0.02,9.27,32.05394190871369,0.0623948220064725,,,32.05394190871369,32.05394190871369,
1793,0.03,9.59,33.160442600276625,0.0904692387904066,,,33.160442600276625,33.160442600276625,
1794,0.03,10.64,36.79114799446749,0.0815413533834586,,,36.79114799446749,36.79114799446749,
1795,0.03,12.17,42.08160442600276,0.071290057518488,,,42.08160442600276,42.08160442600276,
1796,0.04,12.81,44.29460580912863,0.0903044496487119,,,44.29460580912863,44.29460580912863,
1797,0.03,12.33,42.63485477178423,0.0703649635036496,,,42.63485477178423,42.63485477178423,
1798,0.04,11.92,41.21715076071922,0.0970469798657718,,,41.21715076071922,41.21715076071922,
1799,0.04,11.92,41.21715076071922,0.0970469798657718,,,41.21715076071922,41.21715076071922,
1800,0.04,12.17,42.08160442600276,0.0950534100246507,,,42.08160442600276,42.08160442600276,
1801,0.04,12.33,42.63485477178423,0.0938199513381995,,,42.63485477178423,42.63485477178423,
1802,0.04,10.39,35.92669432918395,0.1113378248315688,,,35.92669432918395,35.92669432918395,
1803,0.04,10.96,37.89764868603043,0.1055474452554744,,,37.89764868603043,37.89764868603043,
1804,0.05,11.44,39.55739972337482,0.1263986013986014,,,39.55739972337482,39.55739972337482,
1805,0.05,11.36,39.28077455048409,0.1272887323943662,,,39.28077455048409,39.28077455048409,
1806,0.05,11.84,40.94052558782849,0.1221283783783784,,,40.94052558782849,40.94052558782849,
1807,0.05,11.2,38.72752420470263,0.1291071428571428,,,38.72752420470263,38.72752420470263,
1808,0.05,12.17,42.08160442600276,0.1188167625308134,,,42.08160442600276,42.08160442600276,
1809,0.05,11.92,41.21715076071922,0.1213087248322147,,,41.21715076071922,41.21715076071922,
1810,0.05,11.92,41.21715076071922,0.1213087248322147,,,41.21715076071922,41.21715076071922,
1811,0.05,12.73,44.01798063623789,0.1135899450117832,,,44.01798063623789,44.01798063623789,
1812,0.05,12.89,44.57123098201936,0.1121799844840962,,,44.57123098201936,44.57123098201936,
1813,0.05,15.47,53.4923928077455,0.0934712346477052,,,53.4923928077455,53.4923928077455,
1814,0.05,17.0,58.78284923928077,0.0850588235294117,,,58.78284923928077,58.78284923928077,
