,"S013-P: 1 + (NMINTcorp/Pcorp), Ratio","S013-Q: 1 + (INVcorp(-1)/KNCcorpbea(-1)), Ratio","S013-R: KNCcorpbea(-1)/KGCcorp(-1), Ratio",Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series
Year,S028-A,S028-B,S028-C,CS028-D1,CS028-D2,CS028-D3,CS028-N1,CS028-N2,CS028-N3,S028
1946,,,,,159.4,152.5429623979,,173.2221675301,159.4,
1947,1.1066666667,1.1355631542,1.0449515172,22.5,190.1,170.5828337097,2.4,195.7752544759,190.1,1.1066666667
1948,1.0844594595,1.1476843843,1.1144145977,29.6,208.1,191.6835928065,2.5,220.4816902446,208.1,1.0844594595
1949,1.097826087,1.1502376756,1.085643257,27.6,212.2,200.7047696098,2.7,229.2275397818,212.2,1.097826087
1950,1.0813953488,1.142113066,1.0572743259,34.4,238.1,230.206006529,2.8,265.9043031913,238.1,1.0813953488
1951,1.0895140665,1.1550710913,1.034290997,39.1,258.5,255.849794146,3.5,298.0863049649,258.5,1.0895140665
1952,1.1,1.1650832316,1.0103584443,37.0,273.5,276.7328418152,3.7,320.9804990944,273.5,1.1
1953,1.1018766756,1.159893047,0.9883178238,37.3,287.0,296.5355584865,3.8,342.6366653887,287.0,1.1018766756
1954,1.1098901099,1.1554656957,0.9678434568,36.4,295.3,311.2351026906,4.0,357.2725818091,295.3,1.1098901099
1955,1.1008583691,1.1479186593,0.9488004324,46.6,325.0,347.9833912573,4.7,400.7672407784,325.0,1.1008583691
1956,1.1128318584,1.1516849679,0.9339526201,45.2,360.7,391.847372628,5.1,450.6755470664,360.7,1.1128318584
1957,1.1348314607,1.1501303276,0.9205114675,44.5,386.9,426.5861093605,6.0,488.1419505732,386.9,1.1348314607
1958,1.1629072682,1.1442987473,0.9069681162,39.9,394.4,442.5900830933,6.5,506.9752782568,394.4,1.1629072682
1959,1.1291585127,1.1454736507,0.8911180233,51.1,411.6,469.2512596113,6.6,541.1384504134,411.6,1.1291585127
1960,1.146,1.1531955202,0.8771420248,50.0,419.9,484.9322528829,7.3,560.0638553376,419.9,1.146
1961,1.1591355599,1.1549321622,0.8658941481,50.9,430.3,503.2776347161,8.1,583.2290589182,430.3,1.1591355599
1962,1.1552901024,1.1588614687,0.8549952756,58.6,444.2,525.449238998,9.1,611.0481523121,444.2,1.1552901024
1963,1.1555209953,1.1629061515,0.845371859,64.3,458.3,548.4317201516,10.0,640.7185491656,458.3,1.1555209953
1964,1.1561181435,1.1682740542,0.8356555304,71.1,483.9,584.4167406084,11.1,683.1565505526,483.9,1.1561181435
1965,1.1540342298,1.1689544516,0.8280050286,81.8,517.4,629.5138499736,12.6,740.1897503855,517.4,1.1540342298
1966,1.1590909091,1.1758117004,0.8219040773,88.0,563.4,689.3389442733,14.0,813.6820802499,563.4,1.1590909091
1967,1.1885245902,1.1803802571,0.8173047594,85.4,610.8,753.3311352268,16.1,890.5769407109,610.8,1.1885245902
1968,1.2030567686,1.1821852291,0.810798826,91.6,672.6,835.851266176,18.6,986.7243031773,672.6,1.2030567686
1969,1.2639362912,1.1805022533,0.8046886177,87.9,741.1,928.3262407092,23.2,1099.480199838,741.1,1.2639362912
1970,1.3607427056,1.1843683305,0.7983184871,75.4,815.7,1032.4109896184,27.2,1212.9635617808,815.7,1.3607427056
1971,1.3151927438,1.1748843958,0.7900923258,88.2,895.2,1145.856447449,27.8,1338.2167412649,895.2,1.3151927438
1972,1.2924435721,1.1678746882,0.7812496949,101.9,972.2,1256.316688097,29.8,1474.0124288399,972.2,1.2924435721
1973,1.3248175182,1.1732809433,0.7738494674,109.6,1097.4,1429.5600183096,35.6,1685.0448583541,1097.4,1.3248175182
1974,1.4575230297,1.1787157145,0.7676487772,97.7,1346.4,1763.5896893717,44.7,2069.449181444,1346.4,1.4575230297
1975,1.399326032,1.173430075,0.7634428848,118.7,1495.4,1983.0408217263,47.4,2302.5151528181,1495.4,1.399326032
1976,1.3149552033,1.161103255,0.7540944108,145.1,1643.8,2204.9619793216,45.7,2561.5475679385,1643.8,1.3149552033
1977,1.2779386219,1.1617196088,0.745500383,172.7,1829.9,2477.8222116409,48.0,2880.7440191374,1829.9,1.2779386219
1978,1.2939672802,1.1626112663,0.73851142,195.6,2081.5,2835.8341845926,57.5,3284.4556975819,2081.5,1.2939672802
1979,1.3796539067,1.1581973711,0.733999192,190.7,2399.7,3283.9472079486,72.4,3795.9715815575,2399.7,1.3796539067
1980,1.5403614458,1.1559173583,0.7307364729,166.0,2761.2,3800.0711216002,89.7,4355.7362965833,2761.2,1.5403614458
1981,1.5666322314,1.1462249409,0.7266179794,193.6,3125.3,4326.9839530504,109.7,4945.2184267891,3125.3,1.5666322314
1982,1.7105719237,1.142878846,0.7222813937,173.1,3318.6,4638.9577760993,123.0,5271.423536717,3318.6,1.7105719237
1983,1.5306939502,1.1363378998,0.7153762031,224.8,3415.3,4822.6751063716,119.3,5495.9625876937,3415.3,1.5306939502
1984,1.5021276596,1.1396087164,0.7081754264,282.0,3618.4,5136.9718432926,141.6,5882.4579476728,3618.4,1.5021276596
1985,1.5122282609,1.1451217034,0.7043838492,294.4,3819.3,5450.7339934435,150.8,6267.3432608915,3819.3,1.5122282609
1986,1.5744448489,1.1498163859,0.7006946229,274.7,3989.7,5739.7141328238,157.8,6603.4475911029,3989.7,1.5744448489
1987,1.4974984365,1.1504837067,0.6951043044,319.8,4197.6,6092.1964278164,159.1,7093.2799552837,4197.6,1.4974984365
1988,1.4840367965,1.1643222669,0.6890125835,369.6,4462.9,6531.1328708283,178.9,7564.1700869745,4462.9,1.4840367965
1989,1.6026785714,1.1581712142,0.6833270871,358.4,4728.2,6967.2695129476,216.0,8052.6955613928,4728.2,1.6026785714
1990,1.6180245536,1.1557893012,0.6786302713,358.4,4993.1,7416.8195516212,221.5,8534.6855281661,4993.1,1.6180245536
1991,1.5548844538,1.1507203956,0.6732130889,380.8,5105.1,7670.8141193721,211.3,8807.4346401476,5105.1,1.5548844538
1992,1.4384306311,1.1481746922,0.6655225796,423.1,5275.6,8013.0348011428,185.5,9210.2414493491,5275.6,1.4384306311
1993,1.3738217652,1.1494073941,0.6583772729,466.8,5523.9,8456.6793089391,174.5,9704.8600242958,5523.9,1.3738217652
1994,1.3263674359,1.1475970259,0.6531996542,550.3,5823.9,8977.803393597,179.6,10475.1130798887,5823.9,1.3263674359
1995,1.3241335045,1.1667790684,0.6486998818,623.2,6154.2,9530.432697032,202.0,10929.2039226217,6154.2,1.3241335045
1996,1.2967834167,1.1467689107,0.6457419296,699.5,6469.9,10053.4478027449,207.6,11515.5908461449,6469.9,1.2967834167
1997,1.2746687251,1.1454369757,0.6435503647,777.3,6830.5,10645.4676180643,213.5,12174.436191153,6830.5,1.2746687251
1998,1.3617021277,1.1436262481,0.6416345665,709.7,7217.6,11273.0910657074,256.7,12857.1326016787,7217.6,1.3617021277
1999,1.3781981492,1.140515279,0.6402503056,734.8,7641.6,11967.6673965379,277.9,13657.3700758002,7641.6,1.3781981492
2000,1.4952494062,1.1411889739,0.638520419,673.6,8175.4,12840.5666569413,333.6,14656.6113433049,8175.4,1.4952494062
2001,1.5724979658,1.1414302604,0.6366852973,614.5,8595.6,13620.7331663432,351.8,15407.3495135616,8595.6,1.5724979658
2002,1.4134117318,1.1311688824,0.6310673511,714.3,8907.7,14281.2338725201,295.3,16155.3074547713,8907.7,1.4134117318
2003,1.3354679803,1.1312263071,0.6237346212,812.0,9185.8,14892.4791534341,272.4,16871.0954132352,9185.8,1.3354679803
2004,1.2552068337,1.1328600993,0.6168079811,1041.9,9909.5,16199.6601083777,265.9,18386.6892975873,9909.5,1.2552068337
2005,1.2422324511,1.1350046343,0.6117103651,1216.6,10768.3,17723.4623553581,294.7,20117.5479850177,10768.3,1.2422324511
2006,1.2238993711,1.1350800189,0.6075731583,1351.5,11679.9,19265.161969871,302.6,21843.253111563,11679.9,1.2238993711
2007,1.3377306432,1.1338214102,0.6062705322,1159.8,12317.8,20353.5581699534,391.7,23029.7727001912,12317.8,1.3377306432
2008,1.5306486101,1.1314863233,0.6051914804,841.8,13138.0,21776.8857752075,446.7,24452.7788434003,13138.0,1.5306486101
2009,1.4317331986,1.1228776739,0.603300221,989.5,12701.7,21294.7190405376,427.2,23856.7832003942,12701.7,1.4317331986
2010,1.3364593743,1.1203145322,0.5964718283,1300.9,12994.6,21982.0819615839,437.7,24709.0792232588,12994.6,1.3364593743
2011,1.34169008,1.1240554587,0.5911450982,1388.1,13530.8,23023.968602353,474.3,25961.4992825207,13530.8,1.34169008
2012,1.1577229429,1.1704161115,0.748671973,1652.37,15641.553,23810.9063827665,260.6166591495,26848.8391227732,15641.553,1.1577229429
2013,1.1674819581,1.1942219382,0.6569070807,1682.298,16233.055,24711.3411891581,281.7545631443,27864.1565940498,16233.055,1.1674819581
2014,1.1399923449464475,1.113987770632207,0.6569070807,1807.956,17005.192,25886.7540028135,321.7154696091,29189.5353523957,17005.192,1.1399923449464475
2015,1.1910549808541178,1.1146654651120669,0.6569070807,1777.928,17324.832,26373.3372798185,331.6815601375,29738.1997297246,17324.832,1.1910549808541178
2016,1.2137780017524926,1.1159853671308329,0.6569070807,1724.401,17832.363,27145.9442663084,317.0054423325,30609.3803707275,17832.363,1.2137780017524926
2017,1.220301527564337,1.1144731912422374,0.6569070807,1726.343,18522.028,28195.8111657442,294.5695968643,31793.1953431671,18522.028,1.220301527564337
2018,1.2327818247760869,1.113105554640129,0.6569070807,1844.577,19387.389,29513.1375052897,290.3747349656,33278.5937733692,19387.389,1.2327818247760869
2019,1.2068182568606654,1.1130934263505003,0.6569070807,1938.296,20271.382,30858.8270647612,290.2663929338,34795.9741666496,20271.382,1.2068182568606654
2020,1.210786146105582,1.1156108029536418,0.6569070807,1966.263,20683.088,31485.5610612655,363.4477977878,35502.6705004395,20683.088,1.210786146105582
2021,1.149121688493174,1.107496218649749,0.6569070807,2697.79,22973.076,34971.5761574429,525.2044175258,39433.4515044154,22973.076,1.149121688493174
2022,1.1502228883279015,1.103485249428505,0.6569070807,2913.118,25624.438,39007.7055858203,480.7255893471,43984.5335992837,25624.438,1.1502228883279015
2023,1.1205686570724338,1.110878743955282,0.6569070807,3144.25,26507.748,40352.355424424,339.1553906787,45500.7416181126,26507.748,1.1205686570724338
2024,1.1015238201749258,1.110819221610225,0.6569070807,3344.161,27370.152,41665.180366303,327.7358259235,46981.064336377,27370.152,1.1015238201749258
