,"S215 deviation columns (or computed as industry_IROP - avg_IROP), Rate deviation (decimal)",Composite final series,Composite final series
Year,S037-A,S037,S037-A-EXT
1988,6.56881956236551e-17,6.56881956236551e-17,
1989,1.4802973661668754e-17,1.4802973661668754e-17,
1990,4.093947403305265e-17,4.093947403305265e-17,
1991,-4.625929269271485e-18,-4.625929269271485e-18,
1992,4.5796699765787705e-17,4.5796699765787705e-17,
1993,-2.6367796834847467e-17,-2.6367796834847467e-17,
1994,-5.3660779523549233e-17,-5.3660779523549233e-17,
1995,3.932039878880763e-17,3.932039878880763e-17,
1996,-2.7755575615628915e-18,-2.7755575615628915e-18,
1997,-3.0993726104118954e-17,-3.0993726104118954e-17,
1998,6.938893903907228e-18,6.938893903907228e-18,
1999,-3.4231876592608995e-17,-3.4231876592608995e-17,
2000,1.1564823173178713e-18,1.1564823173178713e-18,
2001,9.25185853854297e-18,9.25185853854297e-18,
2002,-7.031412489292658e-17,-7.031412489292658e-17,
2003,7.401486830834377e-18,7.401486830834377e-18,
2004,-2.0354088784794535e-17,-2.0354088784794535e-17,
2005,2.960594732333751e-17,2.960594732333751e-17,
2006,0.0,0.0,0.0
2007,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
2008,0.0,0.0,0.0
2009,0.0,0.0,0.0
2010,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16
2011,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16
2012,0.0,0.0,0.0
2013,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
2014,0.0,0.0,0.0
2015,0.0,0.0,0.0
2016,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
2017,0.0,0.0,0.0
2018,0.0,0.0,0.0
2019,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
2020,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16
2021,-4.440892098500626e-16,-4.440892098500626e-16,-4.440892098500626e-16
2022,4.440892098500626e-16,4.440892098500626e-16,4.440892098500626e-16
2023,0.0,0.0,0.0
2024,0.0,0.0,0.0
