,"Shaikh IO at 6 base years, Rate (decimal)","PWT 7.1, CIC Univ. Penn., PPP (2005 intl $)","PWT, NBER output/labor adjusted, Index","Shaikh IO circ. capital w(r) curve 1947, Wage share (w)","Shaikh IO circ. capital w(r) curve 1958, Wage share (w)","Shaikh IO circ. capital w(r) curve 1963, Wage share (w)","Shaikh IO circ. capital w(r) curve 1967, Wage share (w)","Shaikh IO circ. capital w(r) curve 1972, Wage share (w)","Shaikh IO circ. capital w(r) curve 1998, Wage share (w)","Shaikh reswitching example (theoretical), Wage (w)","Shaikh reswitching example (theoretical), Wage (w)","Shaikh Cobb-Douglas pseudo PPF (theoretical), Profit rate (r)","Shaikh Cobb-Douglas pseudo PPF (theoretical), Capital intensity (k)",Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series,Composite final series
Year,S049-A,S049-B,S049-C,S049-D,S049-E,S049-F,S049-G,S049-H,S049-I,S049-V,S049-W,S049-Y,S049-Z,S049-J,S049-K,S049-L,S049-M,S049-N,S049-O,S049-P,S049-Q,S049-R,S049-S,S049-T,S049-U,S049-X
1,,,,,,,,,,1.2,1.0,0.02,15.462474735549584,,,,,,,,,,,,,1.22
2,,,,,,,,,,1.08,0.9166666666666666,,,,,,,,,,,,,,,1.1
3,,,,,,,,,,0.96,0.8333333333333333,,,,,,,,,,,,,,,0.98
4,,,,,,,,,,0.84,0.75,,,,,,,,,,,,,,,0.86
5,,,,,,,,,,0.72,0.6666666666666666,,,,,,,,,,,,,,,0.74
6,,,,,,,,,,0.6,0.5833333333333333,,,,,,,,,,,,,,,0.62
7,,,,,,,,,,0.48,0.5,,,,,,,,,,,,,,,0.52
8,,,,,,,,,,0.36,0.4166666666666666,,,,,,,,,,,,,,,0.4366666666666666
9,,,,,,,,,,0.2399999999999999,0.3333333333333332,,,,,,,,,,,,,,,0.3533333333333333
10,,,,,,,,,,0.1199999999999999,0.25,,,,,,,,,,,,,,,0.27
11,,,,,,,,,,0.0,0.1666666666666666,,,,,,,,,,,,,,,0.1866666666666666
12,,,,,,,,,,,0.0833333333333332,,,,,,,,,,,,,,,0.1033333333333332
13,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.02
1947,0.236,,0.322501009700411,0.444843517836607,0.5133759621219278,0.5852085911101267,0.6155983260827683,0.8817238706764727,,,,,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,
1948,,,,0.4389270990493801,0.5054186347090379,0.5749089199065884,0.6040866373850206,0.8625022902957256,,,,,,0.01,0.989,0.01,0.9867,0.01,0.9845,0.01,0.9824,0.01,0.9813,0.01,0.9782,
1949,,,,0.4330551646139369,0.4975639824885724,0.5647262904212722,0.5926980683524893,0.8437215718503167,,,,,,0.02,0.977,0.02,0.9735,0.02,0.9692,0.02,0.965,0.02,0.9628,0.02,0.9569,
1950,,31177.610934,,0.4271832301784937,0.4897606678643191,0.554602181795067,0.5814326189851747,0.8251171981790432,,,,,,0.03,0.966,0.03,0.9603,0.03,0.954,0.03,0.9477,0.03,0.9445,0.03,0.9358,
1951,,33989.782889,,0.4213557800948342,0.482008690836278,0.5445951148870839,0.5702287294504683,0.8068655140560402,,,,,,0.04,0.955,0.04,0.9472,0.04,0.9389,0.04,0.9306,0.04,0.9263,0.04,0.9151,
1952,,35325.884345,,0.4155728143629583,0.4743080514044491,0.5347050896973228,0.5591479595809785,0.7889665194813078,,,,,,0.05,0.943,0.05,0.9342,0.05,0.9239,0.05,0.9137,0.05,0.9083,0.05,0.8948,
1953,,36441.981208,,0.409834332982866,0.4666587495688324,0.5248735853666726,0.5481287495440968,0.7713320420677784,,,,,,0.06,0.932,0.06,0.9213,0.06,0.909,0.06,0.8969,0.06,0.8904,0.06,0.8748,
1954,,35201.490449,,0.4041403359545574,0.4590607853294278,0.5151006018951335,0.5372326591724319,0.7539620818154518,,,,,,0.07,0.921,0.07,0.9085,0.07,0.8942,0.07,0.8802,0.07,0.8727,0.07,0.8551,
1955,,37167.924847,,0.3984463389262489,0.4515654962824477,0.5054446601418164,0.5264596884659835,0.7369448111113959,,,,,,0.08,0.91,0.08,0.8957,0.08,0.8796,0.08,0.8637,0.08,0.8552,0.08,0.8358,
1956,,37379.967033,,0.392796826249724,0.4440702072354676,0.4959057601067214,0.5157482775921433,0.7201038851814753,,,,,,0.09,0.899,0.09,0.883,0.09,0.865,0.09,0.8474,0.09,0.8378,0.09,0.8167,
1957,,37775.88162,,0.3871917979249827,0.4366775933809118,0.4864253809307373,0.5051599863835197,0.7036156487998253,,,,,,0.1,0.888,0.1,0.8704,0.1,0.8506,0.1,0.8312,0.1,0.8206,0.1,0.798,
1958,0.176,37100.309661,0.444843517836607,0.3816312539520252,0.4292849795263561,0.4770035226138643,0.4946332550075043,0.6873037571923105,,,,,,0.11,0.877,0.11,0.8579,0.11,0.8362,0.11,0.8151,0.11,0.8035,0.11,0.7795,
1959,,38800.268626,,0.3760707099790676,0.4219950408642246,0.4676401851561022,0.4841680834640973,0.6712563827459986,,,,,,0.12,0.866,0.12,0.8454,0.12,0.822,0.12,0.7991,0.12,0.7865,0.12,0.7613,
1960,,38914.099257,,0.3705991347096773,0.4147051022020933,0.4584524102756732,0.4738260315859068,0.6554735254608898,,,,,,0.13,0.855,0.13,0.8331,0.13,0.8078,0.13,0.7834,0.13,0.7697,0.13,0.7434,
1961,,39316.16705,,0.365127559440287,0.4075178387323863,0.4492646353952443,0.4636070993729328,0.6399551853369839,,,,,,0.14,0.844,0.14,0.8208,0.14,0.7938,0.14,0.7677,0.14,0.7531,0.14,0.7258,
1962,,41635.781446,,0.3596559841708968,0.4003819128588915,0.4401939022330373,0.4534497269925672,0.6246131899872133,,,,,,0.15,0.834,0.15,0.8085,0.15,0.7799,0.15,0.7522,0.15,0.7366,0.15,0.7084,
1963,0.21,42815.971018,0.5133759621219278,0.3542733776050738,0.3932459869853967,0.4311816899299413,0.4433539144448097,0.6095357117986456,,,,,,0.16,0.823,0.16,0.7964,0.16,0.766,0.16,0.7368,0.16,0.7202,0.16,0.6913,
1964,,44484.751315,,0.3488907710392508,0.3862127363043263,0.4222279984859564,0.4333196617296606,0.5946345783842132,,,,,,0.17,0.812,0.17,0.7843,0.17,0.7523,0.17,0.7215,0.17,0.7039,0.17,0.6744,
1965,,46608.741731,,0.3435081644734279,0.3792308232194681,0.4133913487601935,0.423408528679728,0.5799979621309838,,,,,,0.18,0.802,0.18,0.7722,0.18,0.7387,0.18,0.7064,0.18,0.6878,0.18,0.6578,
1966,,48649.202708,,0.3382145266111723,0.3722489101346098,0.4046132198935416,0.4136205152950121,0.5655376906518896,,,,,,0.19,0.791,0.19,0.7603,0.19,0.7251,0.19,0.6914,0.19,0.6719,0.19,0.6414,
1967,0.229,48806.870452,0.5852085911101267,0.3329208887489167,0.365369672242176,0.3958936118860007,0.4038940617429043,0.5513419363339984,,,,,,0.2,0.78,0.2,0.7484,0.2,0.7117,0.2,0.6765,0.2,0.6561,0.2,0.6253,
1968,,50391.70281,,0.3276717352384447,0.3585417719459544,0.3872325247375708,0.3942291680234048,0.5372343544031748,,,,,,0.21,0.77,0.21,0.7366,0.21,0.6984,0.21,0.6617,0.21,0.6404,0.21,0.6093,
1969,,50719.148477,,0.3224225817279728,0.3517138716497328,0.378688479307363,0.3846258341365136,0.5233912896335542,,,,,,0.22,0.759,0.22,0.7248,0.22,0.6851,0.22,0.6471,0.22,0.6248,0.22,0.5936,
1970,,49363.469097,,0.3172623969210681,0.3449373089497233,0.3702029547362662,0.3750840600822307,0.5097245696380689,,,,,,0.23,0.749,0.23,0.7132,0.23,0.6719,0.23,0.6326,0.23,0.6093,0.23,0.5781,
1971,,50134.943924,,0.3120577277623798,0.3382634214421383,0.3617759510242803,0.3656654056931643,0.4963223668037864,,,,,,0.24,0.738,0.24,0.7015,0.24,0.6589,0.24,0.6182,0.24,0.594,0.24,0.5629,
1972,0.188,51341.398961,0.6155983260827683,0.3069420273072588,0.3315895339345532,0.3534074681714055,0.3563083111367063,0.4830083363565717,,,,,,0.25,0.728,0.25,0.69,0.25,0.6459,0.25,0.6039,0.25,0.5788,0.25,0.5478,
