,"Nominal - PPI inflation, Percent","HP filter of real rate, Percent",Composite final series
Year,S054-A,S054-B,S054
1857,290.33045240200397,294.12756748972106,290.33045240200397
1858,288.0656546679364,281.2405437813992,288.0656546679364
1859,257.52803125876073,267.0878150438384,257.52803125876073
1860,256.6928234986917,252.6787132099788,256.6928234986917
1861,269.8315893374451,235.83597561773476,269.8315893374451
1862,214.45798166780628,215.72037636792476,214.45798166780628
1863,171.97853535353522,202.82456080127093,171.97853535353522
1864,157.4516874232082,207.22037602512242,157.4516874232082
1865,256.96963326251074,228.69766066424975,256.96963326251074
1866,273.15367277707196,250.45669047611875,273.15367277707196
1867,272.27012567411003,265.12173208428214,272.27012567411003
1868,265.0839984271806,272.8827128792772,265.0839984271806
1869,278.13886186562195,276.31235811491706,278.13886186562195
1870,279.4652219629532,275.3838215609826,279.4652219629532
1871,269.7172736061876,270.6790915708236,269.7172736061876
1872,254.93394362873545,264.1406232984463,254.93394362873545
1873,262.9286439340626,257.39026590964505,262.9286439340626
1874,252.69053314503418,248.98097534697735,252.69053314503418
1875,235.49554597701152,239.31183356113982,235.49554597701152
1876,223.57733573053048,230.01844176884802,223.57733573053048
1877,220.79297690604244,221.46430532544144,220.79297690604244
1878,228.23770478266619,211.86589424015372,228.23770478266619
1879,201.0840373961219,199.2159023824187,201.0840373961219
1880,176.08662973620733,186.96429380250774,176.08662973620733
1881,170.9573321703969,179.18374422192647,170.9573321703969
1882,171.07750169033127,176.32104134008046,171.07750169033127
1883,183.62716215793296,176.08083550586556,183.62716215793296
1884,182.52696360153266,174.41993051826105,182.52696360153266
1885,174.9716907298382,169.81057239360214,174.9716907298382
1886,158.74129948914447,163.4273515093146,158.74129948914447
1887,153.89398025346284,158.16523102156953,153.89398025346284
1888,153.62297254150712,155.35715674648114,153.62297254150712
1889,154.64434514780734,154.91232424412814,154.64434514780734
1890,152.47980399101036,156.16186767293124,152.47980399101036
1891,161.46011641615078,158.34759482587083,161.46011641615078
1892,162.62741954616095,159.4839589352868,162.62741954616095
1893,157.62145665351403,158.62292043027904,157.62145665351403
1894,161.7205874479294,155.8642599435721,161.7205874479294
1895,143.7767009696113,150.97393684896895,143.7767009696113
1896,152.37651010409235,145.67001968839168,152.37651010409235
1897,139.35727969348673,139.27149837730977,139.35727969348673
1898,132.62088407469133,133.33285963642638,132.62088407469133
1899,123.84694178089225,129.4371839585035,123.84694178089225
1900,126.03151841367887,128.93022664905826,126.03151841367887
1901,134.84813218390792,131.29432895440394,134.84813218390792
1902,129.92897307214923,135.04559604239407,129.92897307214923
1903,145.13485382186704,139.88473415738346,145.13485382186704
1904,147.42294061302698,143.80690855364543,147.42294061302698
1905,144.65546787930197,146.55732437361434,144.65546787930197
1906,146.26186154524646,149.0865307795185,146.26186154524646
1907,153.18411736730715,151.7111247688154,153.18411736730715
1908,160.50434869716537,153.80614692753855,160.50434869716537
1909,146.06040868454664,155.23763537455204,146.06040868454664
1910,155.8542305236271,158.10436215192897,155.8542305236271
1911,169.05277613036236,161.4460237384072,169.05277613036236
1912,156.45276081444422,163.55227273662408,156.45276081444422
1913,169.3219827586207,165.24834587986862,169.3219827586207
1914,173.44095842413367,164.99297592736997,173.44095842413367
1915,172.85689484779013,162.60277459794128,172.85689484779013
1916,146.58117131910254,160.71034777598354,146.58117131910254
1917,142.59920117460666,165.36634142918075,142.59920117460666
1918,183.9384943289945,177.91167603958982,183.9384943289945
1919,192.27228019762035,192.09822533774306,192.27228019762035
1920,205.31893593907978,203.68680248397428,205.31893593907978
1921,245.79795219089777,208.49623892524312,245.79795219089777
1922,184.8229724002307,202.8894105935443,184.8229724002307
1923,187.84129174242204,195.66309784275742,187.84129174242204
1924,191.70405261286885,189.59193496232422,191.70405261286885
1925,181.24683190710067,184.8432875415746,181.24683190710067
1926,184.75437912309496,182.28856038668684,184.75437912309496
1927,179.22589543243348,181.6003397590144,179.22589543243348
1928,175.81827183127893,183.2731514987134,175.81827183127893
1929,189.75212898308487,187.01004000374638,189.75212898308487
1930,187.41514532243414,190.0290897829311,187.41514532243414
1931,190.92097701149424,190.4624150048648,190.92097701149424
1932,206.1644228671547,185.5708150179791,206.1644228671547
1933,175.76684984201125,172.76794317291544,175.76684984201125
1934,146.54452967086024,156.33198877004043,146.54452967086024
1935,137.29428913914893,141.540776666086,137.29428913914893
1936,123.16600878826249,130.40964535139074,123.16600878826249
1937,118.16624664494847,123.53843747398079,118.16624664494847
1938,131.24025829436653,119.11245016083967,131.24025829436653
1939,117.08778503552921,113.52625026260667,117.08778503552921
1940,107.0185385633043,107.21700734109676,107.0185385633043
1941,94.78665586443198,101.80906921576576,94.78665586443198
1942,95.57056288868425,98.86062744680534,95.57056288868425
1943,99.25151359464874,97.58906914396256,99.25151359464874
1944,104.21455938697318,96.11509323094414,104.21455938697318
1945,98.55285890055531,93.1135467816855,98.55285890055531
1946,82.80087897227855,89.95909892213174,82.80087897227855
1947,77.23693629205437,89.83952281785128,77.23693629205437
1948,99.76609362957005,93.55651831779473,99.76609362957005
1949,106.86993606051044,97.7109230956471,106.86993606051044
1950,96.47379332052576,100.97343326235186,96.47379332052576
1951,98.18268800895808,105.06774925047355,98.18268800895808
1952,116.15102874407144,110.21769151196804,116.15102874407144
1953,123.96419639534369,114.35206008495268,123.96419639534369
1954,110.90702947845806,117.37743408491264,110.90702947845806
1955,116.98679682561979,122.40443806413012,116.98679682561979
1956,125.4344640782707,130.3868950394024,125.4344640782707
1957,146.1906215034076,140.47274761468998,146.1906215034076
1958,143.82449469975018,150.15912807357614,143.82449469975018
1959,167.58035409452276,158.84912666255002,167.58035409452276
1960,168.96551724137933,163.83428917015883,168.96551724137933
1961,166.66666666666666,165.31657052894064,166.66666666666666
1962,165.90038314176246,165.20833502850712,165.90038314176246
1963,163.54764762491754,165.8719790043785,163.54764762491754
1964,168.39360719199948,169.9005814964935,168.39360719199948
1965,170.005215636804,179.11244441830382,170.005215636804
1966,193.22762441493936,194.82354491509653,193.22762441493936
1967,210.93238010128093,215.3141172049921,210.93238010128093
1968,234.2838393470526,238.33242200605855,234.2838393470526
1969,265.4322099176695,260.1661410017936,265.4322099176695
1970,304.40276093109225,275.753428322693,304.40276093109225
1971,279.94984326018806,281.7877944045445,279.94984326018806
1972,271.7033156614071,284.5125272192687,271.7033156614071
1973,271.9488570321581,289.5582643573343,271.9488570321581
1974,309.47831823602553,298.2859062232561,309.47831823602553
1975,329.066265381701,306.18655077982356,329.066265381701
1976,318.3990105915936,312.4820999940825,318.3990105915936
1977,301.0603808842987,324.02102736703796,301.0603808842987
1978,326.77859837415656,349.62410993219873,326.77859837415656
1979,356.3761037935968,390.4585758954938,356.3761037935968
1980,443.36707122931546,440.07648294350474,443.36707122931546
1981,533.7804742765959,480.66906472884756,533.7804742765959
1982,526.3116740949254,495.5244176660751,526.3116740949254
1983,460.0026819923372,485.63444135232305,460.0026819923372
1984,484.6039796817617,462.25345419434376,484.6039796817617
1985,436.11434398519157,428.0918548122277,436.11434398519157
1986,348.5008464759868,393.3102169885381,348.5008464759868
1987,356.7921628008352,370.7432775634927,356.7921628008352
1988,368.04232449274724,358.289316539792,368.04232449274724
1989,349.83136744692825,349.196242332584,349.83136744692825
1990,353.4339336570574,339.9629660080017,353.4339336570574
1991,335.84335662492634,327.3001070036263,335.84335662492634
1992,311.27653626691665,312.4086073067242,311.27653626691665
1993,275.17784054502897,299.33715877832856,275.17784054502897
1994,303.7192785720961,291.75709626620323,303.7192785720961
1995,287.23316912972086,285.2866485403455,287.23316912972086
1996,279.96970506994563,279.531438472717,279.96970506994563
1997,278.2392280758603,274.74592913173797,278.2392280758603
1998,252.69940787182168,271.33067245157133,252.69940787182168
1999,269.23069815574524,270.8506533477543,269.23069815574524
2000,286.21697119567705,268.66043520924086,286.21697119567705
2001,270.1339985621357,259.5745963609819,270.1339985621357
2002,250.96898892828798,244.25989379007382,250.96898892828798
2003,211.90194376495964,226.90288521733083,211.90194376495964
2004,209.48144079058707,213.92649340963862,209.48144079058707
2005,193.0893448981031,206.75332731642584,193.0893448981031
2006,209.53837989941925,205.3243116807706,209.53837989941925
2007,208.23022004480455,205.0257104396434,208.23022004480455
2008,205.85944957223978,202.64847693623108,205.85944957223978
2009,212.25629273970605,196.0517343821073,212.25629273970605
2010,182.44727645816582,184.16493020084877,182.44727645816582
2011,168.89851410696022,171.3190312685651,168.89851410696022
2012,140.21474950857635,161.27245321380497,140.21474950857635
2013,161.6713560337357,156.97677261124866,161.6713560337357
2014,158.57322796190243,154.364331467167,158.57322796190243
2015,156.18608740918617,150.93233292865983,156.18608740918617
2016,143.1390962674476,145.58094564107216,143.1390962674476
2017,139.047507111749,138.96158974325772,139.047507111749
2018,146.25281101090206,130.91173558286204,146.25281101090206
2019,130.8565738584458,121.29749263036112,130.8565738584458
2020,97.64398745032003,115.09866216557761,97.64398745032003
2021,86.63283736339152,120.48140587769578,86.63283736339152
2022,139.79143557709926,139.79366055081402,139.79143557709926
2023,187.6330677622462,164.1005067975959,187.6330677622462
2024,193.75551597050324,184.46628357280022,193.75551597050324
2025,202.86752695195017,199.7995168194025,202.86752695195017
2026,203.02232292043556,212.10514327961246,203.02232292043556
