,"S040-A (Ibbotson rslarge), Percent","S040-C (rbcorplt), Percent","S040-D (rbgovlt), Percent",Composite final series,Composite final series,Composite final series,Composite final series
Year,S056-A,S056-B,S056-C,S056,S056-A-EXT,S056-B-EXT,S056-C-EXT
1926,11.62,7.37,7.77,11.62,,,
1927,37.49,7.44,8.93,37.49,,,
1928,43.61,2.84,0.1,43.61,,,
1929,-8.42,3.27,3.42,-8.42,,,
1930,-24.9,7.98,4.66,-24.9,,,
1931,-43.34,-1.85,-5.31,-43.34,,,
1932,-8.19,10.82,16.84,-8.19,,,
1933,53.99,10.38,-0.07,53.99,,,
1934,-1.44,13.84,10.03,-1.44,,,
1935,47.67,9.61,4.98,47.67,,,
1936,33.92,6.74,7.52,33.92,,,
1937,-35.03,2.75,0.23,-35.03,,,
1938,31.12,6.13,5.53,31.12,,,
1939,-0.41,3.97,5.94,-0.41,,,
1940,-9.78,3.39,6.09,-9.78,,,
1941,-11.59,2.73,0.93,-11.59,,,
1942,20.34,2.6,3.22,20.34,,,
1943,25.9,2.83,2.08,25.9,,,
1944,19.75,4.73,2.81,19.75,,,
1945,36.44,4.08,10.73,36.44,,,
1946,-8.07,1.72,-0.1,-8.07,,,
1947,5.71,-2.34,-2.62,5.71,,,
1948,5.5,4.14,3.4,5.5,,,
1949,18.79,3.31,6.45,18.79,,,
1950,31.71,2.12,0.06,31.71,,,
1951,24.02,-2.69,-3.93,24.02,,,
1952,18.37,3.52,1.16,18.37,,,
1953,-0.99,3.41,3.64,-0.99,,,
1954,52.62,5.39,7.19,52.62,,,
1955,31.56,0.48,-1.29,31.56,,,
1956,6.56,-6.81,-5.59,6.56,,,
1957,-10.78,8.71,7.46,-10.78,,,
1958,43.36,-2.22,-6.09,43.36,,,
1959,11.96,-0.97,-2.26,11.96,,,
1960,0.47,9.07,13.78,0.47,,,
1961,26.89,4.82,0.97,26.89,,,
1962,-8.73,7.95,6.89,-8.73,,,
1963,22.8,2.19,1.21,22.8,,,
1964,16.48,4.77,3.51,16.48,,,
1965,12.45,-0.46,0.71,12.45,,,
1966,-10.06,0.2,3.65,-10.06,,,
1967,23.98,-4.95,-9.18,23.98,,,
1968,11.06,2.57,-0.26,11.06,,,
1969,-8.5,-8.09,-5.07,-8.5,,,
1970,4.01,18.37,12.11,4.01,,,
1971,14.31,11.01,13.23,14.31,,,
1972,18.98,7.26,5.69,18.98,,,
