,"Economic Report to the President, Rate (decimal)","Economic Report to the President, Rate (decimal)","Derived from S065-A, complement. Formula: 1 - unemployment_rate","Derived from S065-A, fitted_curve. Formula: y = -0.061 * ln(x) - 0.1619",Composite final series
Year,S065-A,S065-B,S065-C,S065-D,S065
1955,0.05,0.0171556,0.95,0.0217396686867934,0.05
1956,0.042,0.034328242,0.958,0.0323752253026249,0.042
1957,0.042,0.033208284,0.958,0.0323752253026249,0.042
1958,0.052,0.022393119,0.948,0.0193472051844432,0.052
1959,0.062,0.011941887,0.938,0.0086178745301597,0.062
1960,0.053,0.014044932,0.947,0.0181852652912309,0.053
1961,0.066,0.011202242,0.934,0.0048041327542983,0.066
1962,0.06,0.013623128,0.94,0.0106180537223622,0.06
1963,0.055,0.01066697,0.945,0.0159257477187296,0.055
1964,0.055,0.015475964,0.945,0.0159257477187296,0.055
1965,0.05,0.018210319,0.95,0.0217396686867934,0.05
1966,0.04,0.028335598,0.96,0.0353514253169602,0.04
1967,0.038,0.030788801,0.962,0.0384803162746008,0.038
1968,0.038,0.042506239,0.962,0.0384803162746008,0.038
1969,0.034,0.049387016,0.966,0.0452650800163245,0.034
1970,0.035,0.052744369,0.965,0.0434968402670561,0.035
1971,0.061,0.049993478,0.939,0.0096097663033383,0.061
1972,0.06,0.043127897,0.94,0.0106180537223622,0.06
1973,0.052,0.055467073,0.948,0.0193472051844432,0.052
1974,0.049,0.090792597,0.951,0.0229720338331621,0.049
1975,0.072,0.094511644,0.928,-0.000503561242069,0.072
1976,0.0819999999999999,0.057392868,0.918,-0.0084368020652089,0.0819999999999999
1977,0.078,0.063754652,0.922,-0.0053861664101547,0.078
1978,0.064,0.070161027,0.936,0.0066812039329703,0.064
1979,0.06,0.083190634,0.94,0.0106180537223622,0.06
1980,0.06,0.091172435,0.94,0.0106180537223622,0.06
1981,0.072,0.093718662,0.928,-0.000503561242069,0.072
1982,0.085,0.061000925,0.915,-0.0106286546279989,0.085
1983,0.108,0.039545474,0.892,-0.025236932836667,0.108
1984,0.083,0.037566941,0.917,-0.0091762050576821,0.083
1985,0.073,0.030269484,0.927,-0.0013449538921415,0.073
1986,0.07,0.022104672,0.93,0.0012148622528994,0.07
