,"IRS SOI 2011, Number of returns per income bracket, Count","IRS SOI 2011, relative frequency per income bracket, Proportion","IRS SOI 2011, CDF from below, Proportion","IRS SOI 2011, survival function (1-CDF), Proportion",Composite final series
Year,S102-A,S102-B,S102-C,S102-D,S102
1000,6488963.0,0.044637492515662,0.044637492515662,0.955362507484338,6488963.0
3000,4402111.0,0.0302820646096477,0.0749195571253098,0.9250804428746902,4402111.0
5000,4464759.0,0.030713019391039,0.1056325765163488,0.8943674234836512,4464759.0
7000,4797750.0,0.0330036601714353,0.1386362366877842,0.8613637633122158,4797750.0
9000,5376896.0,0.0369875980118076,0.1756238346995919,0.8243761653004081,5376896.0
11000,5121146.0,0.0352282970709823,0.2108521317705742,0.7891478682294257,5121146.0
13000,5245984.0,0.036087056057691,0.2469391878282653,0.7530608121717347,5245984.0
15000,5132336.0,0.0353052729361938,0.2822444607644591,0.7177555392355409,5132336.0
17000,4767240.0,0.0327937822762072,0.3150382430406663,0.6849617569593336,4767240.0
19000,4539183.0,0.0312249811240595,0.3462632241647259,0.6537367758352741,4539183.0
22500,10210706.0,0.070239314456659,0.416502538621385,0.583497461378615,10210706.0
27500,8987613.0,0.0618256735353811,0.4783282121567661,0.521671787843234,8987613.0
35000,14520079.0,0.099883435564253,0.5782116477210191,0.4217883522789809,14520079.0
45000,10983973.0,0.0755586081442804,0.6537702558652995,0.3462297441347005,10983973.0
62500,18949278.0,0.1303518381754064,0.7841220940407059,0.2158779059592941,18949278.0
87500,11926401.0,0.0820415581621107,0.8661636522028167,0.1338363477971833,11926401.0
150000,14755766.0,0.1015047233876755,0.967668375590492,0.0323316244095078,14755766.0
350000,3801641.0,0.0261514392491888,0.993819814839681,0.006180185160319,3801641.0
750000,597525.0,0.0041103667435645,0.9979301815832456,0.0020698184167544,597525.0
1250000,134907.0,0.0009280235074249,0.9988582050906704,0.0011417949093295,134907.0
1750000,55986.0,0.0003851269695915,0.999243332060262,0.0007566679397379,55986.0
3500009,79363.0,0.0005459370501142,0.9997892691103764,0.0002107308896236,79363.0
7500000,19189.0,0.0001320008827116,0.999921269993088,7.873000691205334e-05,19189.0
