Year,S077
1988,0.0471646912586005
1989,0.0253289418688245
1990,0.0176265327419775
1991,-0.0073066384656058
1992,0.0331703065226864
1993,0.0314648168978879
1994,0.0462724546363333
1995,0.0348596493767825
1996,0.0424984262432677
1997,0.0512190867249038
1998,0.0561016083737553
1999,0.0505469269353962
2000,0.0445482471783424
2001,0.0024892883499101
2002,0.006119870351041
2003,0.0203118857292621
2004,0.0325905471358849
2005,0.0365164754293769
2006,0.0232299999999998
2007,0.0199466395629526
2008,-0.0166053428385267
2009,-0.054544923073925
2010,0.0245174322137828
2011,0.0160041041322978
