,S223
0,0.159455
1,0.159929
2,0.156724
3,0.153452
4,0.154486
5,0.156553
6,0.154705
7,0.155863
8,0.157094
9,0.15747
10,0.156361
11,0.156174
12,0.156147
13,0.156224
14,0.155725
15,0.156385
16,0.156497
17,0.157689
18,0.158728
19,0.160835
20,0.165432
21,0.16651
22,0.171336
23,0.172947
24,0.173171
25,0.174461
26,0.176103
27,0.178398
28,0.17682
29,0.179297
30,0.177278
31,0.175197
32,0.174333
33,0.173708
34,0.172939
35,0.171473
36,0.170383
37,0.172236
38,0.173228
39,0.173359
40,0.172661
41,0.172545
42,0.172663
43,0.173265
44,0.173108
45,0.171549
46,0.170519
47,0.168459
48,0.1658
49,0.164168
50,0.162545
51,0.160394
52,0.162768
53,0.160168
54,0.160921
55,0.159524
56,0.161809
57,0.161565
58,0.162763
59,0.163656
60,0.165776
61,0.168265
62,0.169608
63,0.170419
64,0.170393
65,0.170521
66,0.17124
67,0.171987
68,0.171785
69,0.172423
70,0.172483
71,0.171604
72,0.169036
73,0.1688
74,0.168499
75,0.169208
76,0.170169
77,0.171871
78,0.173094
79,0.172269
80,0.170398
81,0.171712
82,0.172795
83,0.175282
84,0.176242
85,0.178728
86,0.176631
87,0.181412
88,0.178735
89,0.178669
90,0.180133
91,0.180446
92,0.180218
93,0.178826
94,0.17729
95,0.177797
96,0.178249
97,0.177656
98,0.178969
99,0.17813
100,0.182681
101,0.18372
102,0.182345
103,0.183243
104,0.18413
105,0.184921
106,0.186507
107,0.187226
108,0.1876
109,0.188528
110,0.189795
111,0.188892
112,0.185357
113,0.180412
114,0.182582
115,0.184676
116,0.186716
117,0.18466
118,0.184274
119,0.181161
120,0.175768
121,0.171342
122,0.168889
123,0.16602
124,0.161731
125,0.161013
126,0.160718
127,0.160569
128,0.158572
129,0.157793
130,0.156918
131,0.154849
