H,XR_20_0,XR_17_3,XR_3_17,XR_12_8,XR_10_10,xr_10_10,mpl_10_10
0,0,0,0,0,0,,
1,3.55,3.55,3.550,3.550,3.550,3.550,3.55
2,9.2,9.20,9.200,9.200,9.200,4.600,5.65
3,16.65,16.65,16.650,16.650,16.650,5.550,7.45
4,25.6,25.60,20.200,25.600,25.600,6.400,8.95
5,35.75,35.75,25.850,35.750,35.750,7.150,10.15
6,46.8,46.80,33.300,46.800,46.800,7.800,11.05
7,58.45,58.45,42.250,58.450,58.450,8.350,11.65
8,70.4,70.40,52.400,70.400,70.400,8.800,11.95
9,82.35,82.35,63.450,82.350,82.350,9.150,11.95
10,94,94.00,75.100,94.000,94.000,9.400,11.65
11,105.05,105.05,87.050,105.050,97.550,8.868,3.55
12,115.2,115.20,99.000,115.200,103.200,8.600,5.65
13,124.15,124.15,110.650,118.750,110.650,8.512,7.45
14,131.6,131.60,121.700,124.400,119.600,8.543,8.95
15,137.25,137.25,131.850,131.850,129.750,8.650,10.15
16,140.8,140.80,140.800,140.800,140.800,8.800,11.05
17,141.95,141.95,148.250,150.950,152.450,8.968,11.65
18,140.4,145.50,153.900,162.000,164.400,9.133,11.95
19,135.85,151.15,157.450,173.650,176.350,9.282,11.95
20,128,158.60,158.600,185.600,188.000,9.400,11.65
