variable,section,description,source,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
KNCbea93,New Net Stock Calculations using BEA 1993 depreciation rates,BEA 1993 Current-Cost Net stock,"BEA 1993, Table A13",77.769,79.727,80.892,81.55,81.369,76.628,68.367,61.955,60.951,61.071,61.096,64.147,67.517,66.281,66.356,69.879,76.541,80.512,81.242,82.345,90.328,109.554,131.622,146.79,155.144,171.295,189.284,201.502,213.013,222.866,243.021,271.506,292.041,301.41,314.077,323.054,331.447,343.819,357.177,377.34,407.794,450.093,489.841,543.968,602.442,665.399,731.546,812.716,922.601,1107.313,1252.398,1369.168,1520.544,1723.549,1976.173,2277.833,2579.67,2756.942,2844.878,2993.218,3158.155,3317.184,3459.685,3681.151,3886.439,,,,,,,,,,,,,,,,,,,,,,
KNRbea93,New Net Stock Calculations using BEA 1993 depreciation rates,BEA 1993 Constant-Cost Net stock (1987-$),"BEA 1993, Table A12",822.004,841.003,855.083,867.516,887.887,895.364,879.613,848.424,816.242,790.377,769.43,760.488,759.942,745.033,733.611,732.947,740.909,728.618,709.837,701.423,711.493,741.333,777.865,815.055,838.928,866.531,901.859,937.206,976.67,1009.261,1046.118,1094.62,1140.899,1163.212,1191.814,1227.248,1259.146,1297.596,1339.206,1394.866,1472.725,1563.775,1645.171,1734.351,1830.371,1912.185,1982.783,2055.337,2157.155,2258.035,2320.562,2380.386,2457.278,2559.33,2678.474,2787.287,2894.056,2970.881,3028.835,3130.834,3253.706,3344.065,3415.174,3492.368,3574.711,,,,,,,,,,,,,,,,,,,,,,
pKNbea93,New Net Stock Calculations using BEA 1993 depreciation rates,"BEA 1993 Implicit Price Deflator, Net Stock (1985 = 100)",KNCbea93*100/KNRbea93,9.460902866652717,9.47998996436398,9.460134279362354,9.400402989685492,9.16434185881762,8.558307012566956,7.772395360232284,7.302362969458667,7.467270735884702,7.726818973730258,7.940423430331544,8.434978592693113,8.884493816633375,8.896384455453651,9.045120642956553,9.533977217998029,10.330688384133543,11.049960335868725,11.445162762718766,11.739706282799395,12.695557089106991,14.777974270671884,16.920931009879606,18.009827557649484,18.49312455896096,19.767902129294857,20.988203255719572,21.500289157346412,21.81013034085208,22.082097693262696,23.230744524040308,24.803676161590325,25.597445523223353,25.911871610678023,26.352853717106864,26.323448887266466,26.323158712333598,26.496613738020155,26.670803446221125,27.05206091481189,27.68975878049195,28.782465508145354,29.7744732918341,31.364354735575436,32.9136552097908,34.79783598344302,36.894909831282604,39.54173938385774,42.769342026882626,49.03878814987368,53.96959874375259,57.51873855752806,61.879201295091576,67.34375793664748,73.77980895091757,81.72222666700631,89.13683771150247,92.79880277937757,93.92647668162842,95.60449388246072,97.06331795189854,99.19615796941747,101.30333037203961,105.40558726915376,108.72036928299937,,,,,,,,,,,,,,,,,,,,,,
DEPcorpbea93,New Net Stock Calculations using BEA 1993 depreciation rates,BEA 1993 Current-Cost Corporate Depreciation,"BEA 1993, Table A13",4.96,5.147,5.237,5.341,5.45,5.297,4.956,4.436,4.258,4.366,4.406,4.435,4.919,4.999,4.939,5.107,5.558,6.136,6.263,6.356,6.487,7.57,9.221,10.706,11.503,12.337,14.195,15.236,16.277,17.227,18.276,20.6,22.672,23.71,24.826,25.867,26.644,27.623,28.863,30.381,32.495,35.424,38.825,42.89,46.945,51.518,56.686,63.319,68.921,81.145,97.739,109.176,122.479,139.412,161.376,184.656,216.612,242.989,250.712,262.662,277.837,294.178,307.715,327.639,352.382,,,,,,,,,,,,,,,,,,,,,,
dcorpnew,New Net Stock Calculations using BEA 1993 depreciation rates,"BEA 1993 Depreciation Rate, Net Stock",DEPcorp*100/[pKN*KNR(-1)],,0.06604992970917478,0.06582452410921125,0.0664458457635659,0.0685516207978954,0.06970828750457933,0.07121587016761978,0.06906157557055527,0.0672095231856014,0.06922517399698302,0.0702047564150169,0.06833457914343127,0.07280341772487296,0.07394165154781916,0.07329074778531619,0.07301732414384035,0.07340349001543692,0.0749479505432249,0.07510356327630643,0.07627250746847952,0.07284707739510794,0.0719963271564506,0.07350898639159446,0.07642112974974527,0.07631570296704236,0.07439166738216897,0.07805056142752728,0.07857565674264036,0.07963079328246733,0.07987695099547626,0.07794971454241356,0.07939085753978622,0.08091514683127979,0.08020206886896371,0.08098791640724808,0.08245078420188111,0.08247628480608882,0.08279505109893649,0.08339996578120848,0.08385989641253498,0.08413271043844338,0.08356952758590172,0.08338599417142079,0.08312059505489586,0.08223869933059277,0.08088493329932873,0.08034881055719233,0.08076126099468349,0.0784035921239545,0.07670800418793923,0.08020252343871692,0.08179460308954585,0.08315139604681525,0.08424585026299838,0.08546240944679255,0.08435984972081813,0.08718536707058709,0.09047681624393361,0.08984663856490105,0.09070752661391397,0.0914270920178915,0.09114587768881599,0.09083437525205657,0.09101628897703024,0.09280744081616492,0.09058601858472726,0.09094593787683192,0.09130585716893658,0.09166577646104124,0.0920256957531459,0.09238561504525056,0.09274553433735522,0.09310545362945988,0.09346537292156454,0.0938252922136692,0.09418521150577397,0.09454513079787863,0.09490505008998329,0.09526496938208795,0.09562488867419261,0.09598480796629727,0.09634472725840193,0.09670464655050659,0.09706456584261125,0.09742448513471591,0.09778440442682057,0.09814432371892523
pKN,New Net Stock Calculations using BEA 1993 depreciation rates,"BEA 2011 Chain Index Net Stock Deflator, 2005 = 100",Appendix Table 6.8.II.1,6.987324041178134,7.010001550945491,6.967098917027275,6.980388542387048,6.728795296351779,6.30017160445793,5.684310306741422,5.40058573691137,5.562149640687173,5.706230194073993,5.724143641217373,6.27882380658169,6.428711528949268,6.367316082388961,6.4016883009801395,6.72293586678971,7.412550165011831,7.899319359964007,8.018249018587323,8.090449605810713,8.694719318353302,10.186284027201914,11.687301316453992,12.328702827178615,12.277109759362501,13.416174233016012,14.108519660463656,14.471325701210484,14.684464749597003,14.704855179218828,15.688314764964181,16.764998238397013,17.34134558121361,17.339403814644832,17.69761255001583,17.550672647731936,17.543961999809294,17.589420133427467,17.617396713583393,17.920503791927498,18.25063185026104,18.782393828615053,19.410069213456318,20.38348487760849,21.399327381342918,22.6254833939936,23.985256590722237,25.064829917030362,27.01827634019609,31.740071490819343,34.28987723496374,36.65108401021321,39.437901289145174,42.969623074481575,47.29885306076161,52.24623664119977,56.841267698094235,58.61877544907526,58.8547592076622,60.077116450416256,61.05802134566461,61.97276323539892,63.6768926361342,66.09172083346888,68.25298332935563,70.19150403249778,70.50129743081519,71.61204535664628,73.28674601066925,75.25846850921079,76.96389881566103,78.02560351514525,79.23793749955475,80.2989833852433,81.42724909889219,83.30241753164165,84.99694900398005,86.73381282582554,88.23161187820936,93.69818893542455,100,105.84073849688174,108.69286489676857,113.4656961622613,109.52547149964857,111.72330165912993,115.2873632496994
IGCcorp,New Net Stock Calculations using BEA 1993 depreciation rates,BEA 2011 Current-Cost Gross Investment,Appendix Table 6.8.II.1,7.3,7.3,6.9,7,7.7,6.4,4,2.4,2.2,2.7,3.2,4.1,5.4,4.1,4.4,5.6,6.8,5.2,4.5,5.8,8.1,12,15.7,17.8,16.2,17.8,21.7,22.7,24.8,24.1,26.6,32.2,34.9,30.2,32.7,35.6,35.2,38.3,40.4,46.1,55.1,63.8,64.9,71,79.2,81.4,84.6,96.2,114.8,131.2,134,148.6,177.4,218.2,259.5,284.6,324.4,327.1,323.7,383.6,412.5,402.3,403.3,433.2,471.5,502.1,482.4,495.3,545.4,600.7,674.8,735.2,800,871,946.3,1037.8,991.7,885.1,891.8,960,1065.2,1193,1295.3,1311.5,1049.8,1063.9,1182.4
KNCcorpnew,New Net Stock Calculations using BEA 1993 depreciation rates,New Net Current Cost Corp Stock,KNCnew = IGC + (1-dcorpnew)* (pKN/pKN(-1))*KNCnew(-1),98.1,99.21785819593643,99.01962729698553,99.61651252904326,97.14330619893347,91.01494858854144,80.26985367641122,73.39643055484115,72.71164502154747,72.13128734578216,70.47787092446919,76.12454536477391,77.66735773712426,75.33761201026756,74.59294505202064,78.21624970067333,86.70911593161935,90.67772495400968,89.63018737561302,89.33938835148243,97.11788183800748,117.58667447330498,140.69647873779036,154.87566462906798,158.65755876192284,178.2798738926147,194.5471330164521,206.57021645538194,217.72103683250782,224.7083169767935,247.64937746986703,275.8350358208909,297.13117321445196,303.470036040506,317.3541763401915,324.37039656524973,332.7037347786313,344.2482052285193,356.4397906455158,378.26705429792287,407.9245171056672,448.5267356537076,489.7650098693491,542.5755977050926,601.9712383936233,666.3831688538669,734.2712651248133,801.5509317069542,911.0781044266446,1119.4002091383832,1246.3350626177723,1371.7945796442414,1530.7610776651882,1745.5341233881272,2016.6909991822538,2324.310780838796,2632.664285767203,2796.4476801585884,2879.142546279102,3055.9556510066695,3234.392576412193,3385.9305642307645,3566.320858243699,3797.8640814398696,4029.561716365089,4270.719993788062,4381.850134110044,4539.794204017248,4765.485059325251,5044.050858387098,5356.596266769102,5662.035992293144,6014.653333680543,6396.503812141911,6824.093381728645,7361.51385651135,7792.808040240707,8082.459930363552,8330.563325919195,8960.736277754495,9710.662435224274,10480.62144776589,11017.50973042573,11696.432675412227,11240.112971330878,11408.40315225199,11799.351856005873
KGCBEA93,New Gross Stock Calculations using BEA 1993 retirement rates,BEA 1993 Current-Cost Gross stock,"BEA 1993, Table A13",141.919,145.696,148.348,150.074,149.632,141.978,129.182,120.679,122.035,124.88,126.869,133.765,140.484,139.427,140.596,147.741,160.425,170.762,174.908,178.379,194.582,231.343,270.887,294.768,306.807,334.333,364.49,384.138,400.577,415.992,449.719,496.142,528.464,545.673,567.653,582.198,596.763,616.775,638.342,669.61,715.007,778.039,840.995,926.971,1017.831,1121.216,1233.536,1367.632,1548.379,1861.764,2119.815,2332.965,2602.04,2952.598,3381.143,3904.797,4435.338,4768.501,4954.932,5215.763,5497.031,5795.792,6082.296,6510.176,6909.898,,,,,,,,,,,,,,,,,,,,,,
KGRBEA93,New Gross Stock Calculations using BEA 1993 retirement rates,BEA 1993 Constant-Cost Gross stock (1987-$),"BEA 1993, Table A12",1503.79,1541.389,1572.329,1601.811,1639.396,1663.032,1662.333,1644.989,1623.978,1606.532,1591.274,1586.129,1588.158,1575.011,1563.651,1561.845,1567.567,1555.591,1535.969,1525.874,1534.589,1565.906,1602.502,1642.425,1670.512,1705.878,1750.068,1797.486,1850.221,1896.847,1949.082,2014.866,2079.446,2119.727,2167.912,2222.912,2275.488,2334.487,2398.932,2479.204,2584.572,2706.592,2823.715,2952.597,3092.516,3223.135,3346.056,3471.619,3631.866,3797.505,3926.325,4054.95,4202.794,4381.082,4579.184,4769.888,4962.458,5124.66,5266.702,5451.561,5660.945,5840.868,6002.256,6171.324,6346.12,,,,,,,,,,,,,,,,,,,,,,
