year,G_prime,r_mean,w_mean,f_top3,alpha
2002,0.49,46.39,38.33,0.17,1.45
2003,0.49,47.59,38.91,0.18,1.42
2004,0.49,51.34,40.62,0.21,1.35
2005,0.49,55.24,42.27,0.24,1.31
2006,0.49,58.03,43.83,0.25,1.30
2007,0.49,60.76,44.94,0.26,1.29
2008,0.49,58.01,44.87,0.23,1.35
2009,0.49,54.28,43.67,0.20,1.44
2010,0.49,56.61,44.36,0.22,1.39
2011,0.49,57.61,45.31,0.21,1.40
2012,0.49,62.79,46.88,0.25,1.33
2013,0.49,61.71,47.62,0.23,1.43
2014,0.49,65.75,49.22,0.25,1.40
2015,0.48,67.85,50.42,0.26,1.39
2016,0.48,68.05,50.96,0.25,1.43
